"Alcorlo, P., Baltanas, A. and Montes, C. (2001). Food-web structure in two shallow salt lakes in Los Monegros (NE Spain): energetic vs dynamic constraints. Hydrobiologia. 466, pp. 307-316.",,,,,,,,,,
Piñol 94/95 - shallow salt lake - Los Monegros (NE Spain),Fabrea,Turbellaria,Nematods,Diptera,Hexarthra,Moina,Cletocamptus,Arctodisptomus,Candela,Branchinectella
algae,1,0,0,0,1,1,1,1,1,1
detritus,0,1,1,1,1,1,1,1,1,1
clay+bacteria,0,0,0,0,1,1,1,1,1,1
Fabrea,0,0,0,0,1,0,0,0,0,1
Turbellaria,0,0,0,0,0,0,0,0,0,0
Nematods,0,0,0,0,0,0,0,0,0,0
Diptera,0,0,0,0,0,0,0,0,0,0
Hexarthra,0,0,0,0,1,0,0,0,0,1
Moina,0,0,0,0,0,0,0,0,0,0
Cletocamptus,0,0,0,0,0,0,0,0,0,0
Arctodisptomus,0,0,0,0,0,0,0,0,0,0
Candela,0,0,0,0,0,0,0,0,0,0
Branchinectella,0,0,0,0,0,0,0,0,0,0
