"Alcorlo, P., Baltanas, A. and Montes, C. (2001). Food-web structure in two shallow salt lakes in Los Monegros (NE Spain): energetic vs dynamic constraints. Hydrobiologia. 466, pp. 307-316.",,,,,,,,,,,
La muerte 94/95 - shallow salt lake - Los Monegros (NE Spain),Fabrea,Turbellaria,nematods,Diptera,Hexarthra,Moina,Cletocamptus,Arctodisptomus,Candela,Branchinectella,Agabus
algae,1,0,0,0,1,1,1,1,1,1,0
microbial mat,0,1,1,1,0,0,0,0,1,0,0
detritus,0,1,1,1,1,1,1,1,1,1,0
clay+bacteria,0,0,0,0,1,1,1,1,1,1,0
Fabrea,0,0,0,0,1,0,0,0,0,1,0
Turbellaria,0,0,0,0,0,0,0,0,0,0,1
nematods,0,0,0,0,0,0,0,0,0,0,1
Diptera,0,0,0,0,0,0,0,0,0,0,1
Hexarthra,0,0,0,0,1,0,0,0,0,1,1
Moina,0,0,0,0,0,0,0,0,0,0,1
Cletocamptus,0,0,0,0,0,0,0,0,0,0,1
Arctodisptomus,0,0,0,0,0,0,0,0,0,0,1
Candela,0,0,0,0,0,0,0,0,0,0,0
Branchinectella,0,0,0,0,0,0,0,0,0,0,1
Agabus,0,0,0,0,0,0,0,0,0,0,0
