"sp_taxon_1";"sp_taxon_2";"value"
"Salvelinus fontinalis";"Baetis bicaudatus";"1"
"Salvelinus fontinalis";"Cinygmula sp.";"1"
"Salvelinus fontinalis";"Epeorus longimanus";"1"
"Salvelinus fontinalis";"Rhithrogena hageni";"1"
"Salvelinus fontinalis";"Ephemerella coloradensis";"1"
"Salvelinus fontinalis";"E. infrequens";"1"
"Salvelinus fontinalis";"Alloperla spp.";"1"
"Salvelinus fontinalis";"Zapada haysi";"1"
"Salvelinus fontinalis";"Perlodidae (unspec.)";"1"
"Salvelinus fontinalis";"simulids (unspec.)";"1"
"Salvelinus fontinalis";"chironomids (unspec.)";"1"
"Salvelinus fontinalis";"Rhyacophila acropedes";"1"
"Salvelinus fontinalis";"R. valuma";"1"
"Salvelinus fontinalis";"mites (unspec.)";"1"
"Salvelinus fontinalis";"emerging aquatic invertebrates";"1"
"Salvelinus fontinalis";"terrestrial inverteb. (homopteran)";"1"
"Salvelinus fontinalis";"terrestrial inverteb. (hymenopteran)";"1"
"Salvelinus fontinalis";"trout eggs";"1"
"Perlodidae (unspec.)";"Baetis bicaudatus";"1"
"Perlodidae (unspec.)";"chironomids (unspec.)";"1"
"Rhyacophila acropedes";"chironomids (unspec.)";"1"
"R. valuma";"chironomids (unspec.)";"1"
