"orignial_name";"name_clear"
"Baetis bicaudatus";"Baetis bicaudatus"
"Cinygmula sp.";"Cinygmula"
"Epeorus longimanus";"Epeorus longimanus"
"Rhithrogena hageni";"Rhithrogena hageni"
"Ephemerella coloradensis";"Ephemerella coloradensis"
"E. infrequens";"Ephemerella infrequens"
"Alloperla spp.";"Alloperla"
"Zapada haysi";"Zapada haysi"
"Perlodidae (unspec.)";"Perlodidae"
"simulids (unspec.)";"Simuliidae"
"chironomids (unspec.)";"Chironomidae"
"Rhyacophila acropedes";"Rhyacophila acropedes"
"R. valuma";"Rhyacophila valuma"
"mites (unspec.)";"Arachnida"
"emerging aquatic invertebrates";"Invertebrata"
"terrestrial inverteb. (homopteran)";"Homoptera"
"terrestrial inverteb. (hymenopteran)";"Hymenoptera"
"trout eggs";"Trout eggs"
"Salvelinus fontinalis";"Salvelinus fontinalis"
