"sp_taxon_1";"sp_taxon_2";"value";"type"
"Benthos";"Periphyton";"0.5";"unknown"
"Benthos";"Detritus";"0.5";"commensalism"
"Insects";"Aquatic macrophytes";"0.3";"herbivory"
"Insects";"Detritus";"0.7";"commensalism"
"Zooplankton";"Phytoplankton";"0.5";"herbivory"
"Zooplankton";"Detritus";"0.5";"commensalism"
"Hypostomus spp.";"Phytoplankton";"0.2";"herbivory"
"Hypostomus spp.";"Detritus";"0.8";"commensalism"
"P. maculatus";"Phytoplankton";"0.05";"herbivory"
"P. maculatus";"Aquatic macrophytes";"0.05";"herbivory"
"P. maculatus";"Benthos";"0.25";"unknown"
"P. maculatus";"Insects";"0.1";"predation"
"P. maculatus";"Zooplankton";"0.1";"predation"
"P. maculatus";"Trachydoras paraguayensis";"0.1";"predation"
"P. maculatus";"Leporinus friderici";"0.05";"predation"
"P. maculatus";"Astyanax altiparanae";"0.1";"predation"
"P. maculatus";"Serrasalmus marginatus";"0.05";"predation"
"P. maculatus";"Other insectivores";"0.05";"predation"
"P. maculatus";"Detritus";"0.1";"commensalism"
"Schizodon borelii";"Phytoplankton";"0.3";"herbivory"
"Schizodon borelii";"Aquatic macrophytes";"0.7";"herbivory"
"Loricariichthys platymetopon";"Phytoplankton";"0.1";"herbivory"
"Loricariichthys platymetopon";"Benthos";"0.1";"unknown"
"Loricariichthys platymetopon";"Insects";"0.2";"predation"
"Loricariichthys platymetopon";"Detritus";"0.6";"commensalism"
"Prochilodus lineatus";"Phytoplankton";"0.15";"herbivory"
"Prochilodus lineatus";"Benthos";"0.15";"unknown"
"Prochilodus lineatus";"Detritus";"0.7";"commensalism"
"Cyphocharax modesta";"Phytoplankton";"0.35";"herbivory"
"Cyphocharax modesta";"Benthos";"0.1";"unknown"
"Cyphocharax modesta";"Detritus";"0.55";"commensalism"
"Steindachnerina insculpta";"Phytoplankton";"0.35";"herbivory"
"Steindachnerina insculpta";"Benthos";"0.1";"unknown"
"Steindachnerina insculpta";"Detritus";"0.55";"commensalism"
"Iheringichthys labrosus";"Periphyton";"0.1";"unknown"
"Iheringichthys labrosus";"Benthos";"0.35";"unknown"
"Iheringichthys labrosus";"Insects";"0.2";"predation"
"Iheringichthys labrosus";"Zooplankton";"0.1";"predation"
"Iheringichthys labrosus";"Detritus";"0.25";"commensalism"
"Schizodon altoparanae";"Phytoplankton";"0.3";"herbivory"
"Schizodon altoparanae";"Aquatic macrophytes";"0.7";"herbivory"
"Hypophthalmus edentatus";"Phytoplankton";"0.3";"herbivory"
"Hypophthalmus edentatus";"Zooplankton";"0.7";"predation"
"Trachydoras paraguayensis";"Insects";"0.15";"predation"
"Trachydoras paraguayensis";"Zooplankton";"0.3";"predation"
"Trachydoras paraguayensis";"Detritus";"0.55";"commensalism"
"Hoplosternum littorale";"Aquatic macrophytes";"0.1";"herbivory"
"Hoplosternum littorale";"Benthos";"0.2";"unknown"
"Hoplosternum littorale";"Insects";"0.2";"predation"
"Hoplosternum littorale";"Zooplankton";"0.2";"predation"
"Hoplosternum littorale";"Detritus";"0.3";"commensalism"
"Leporinus friderici";"Phytoplankton";"0.05";"herbivory"
"Leporinus friderici";"Aquatic macrophytes";"0.3";"herbivory"
"Leporinus friderici";"Benthos";"0.05";"unknown"
"Leporinus friderici";"Insects";"0.2";"predation"
"Leporinus friderici";"Astyanax altiparanae";"0.1";"predation"
"Leporinus friderici";"Other omnivores";"0.1";"predation"
"Leporinus friderici";"Detritus";"0.2";"commensalism"
"Leporinus obtusidens";"Phytoplankton";"0.05";"herbivory"
"Leporinus obtusidens";"Aquatic macrophytes";"0.3";"herbivory"
"Leporinus obtusidens";"Benthos";"0.05";"unknown"
"Leporinus obtusidens";"Insects";"0.2";"predation"
