"name";"bold";"eol";"tsn";"ncbi"
"Macrophyte";NA;NA;NA;NA
"Trachydoras paraguayensis";"253801";"20972306";"681283";"1104224"
"Leporinus friderici";"48091";"14183913";"641263";"137515"
"Astyanax altiparanae";NA;"29305782";"640451";"142828"
"Serrasalmus marginatus";"246528";"14179714";"641743";"371943"
"Other insectivores";NA;NA;NA;NA
"Other omnivores";NA;NA;NA;NA
"Leporinus obtusidens";"274801";"16946813";"641291";"42626"
"Schizodon borellii";"545854";"24715212";"641704";"1165828"
"Cyphocharax modesta";NA;NA;NA;NA
"Iheringichthys labrosus";"253771";"20972277";"681750";"1150229"
"Auchenipterus nuchalis";"700509";"14207868";"679648";NA
"Prochilodus lineatus";"173017";"14179365";"641604";"27695"
"Pterodoras granulosus";"253741";"16053104";"164204";"238589"
"Acestrorhynchus lacustris";"246509";"16509772";"640365";"639293"
"Hoplias malabaricus";"48123";"12001693";"163055";"27720"
"Trachelyopterus galeatus";"151604";"13698017";"679672";"337678"
"Serrasalmus spilopleura";"246529";"14181130";"163272";"42516"
"Hoplosternum littorale";"199467";"13314863";"679689";"114109"
"Hemisorubim platyrhynchos";"269122";"14201196";"681749";"742453"
"Other piscivores";NA;NA;NA;NA
"Brycon orbignyanus";"246544";"16535876";"640612";"126315"
"Rhaphiodon vulpinus";"253705";"14185718";"639862";"42582"
"Hypophthalmus edentatus";"700985";"13704279";"164260";"238553"
"Plagioscion squamosissimus";"48097";"14203359";"646728";"254544"
"Pseudoplatystoma corruscans";"246560";"20967883";"681793";"309911"
"Polycentropus maculatus";"122246";"24132784";"117056";"761613"
"Steindachnerina insculpta";"246542";"24645163";"641768";"327007"
"Hypostomus";"71266";"12378856";"641817";"36713"
"Loricariichthys platymetopon";"246558";"22423148";"680468";"1123847"
"Schizodon altoparanae";NA;"29323579";"641702";NA
"Salminus brasiliensis";"253694";"14209570";"641697";"930266"
