"Angelini, R., Gomes, L. C., and Agostinho, A. A. (2006). Modeling energy flow in a Large Neotropical Reservoir: a tool do evaluate fishing and stability. Neotropical Ichthyology, Rio Grande do Sul, 4 (2), pp. 253-260.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itaipu Reservoir 1 - (1983-1987) - Brazil,Benthos,Insects,Zooplankton,Loricaria sp,Schizodon borelii,Hypostomus spp,Prochilodus lineatus,Iheringichthys labrosus,Hypophthalmus edentatus,Trachydoras paraguayensis,Leporinus friderici,Leporinus obtusidens,Parauchenipterus galeatus,Pterodoras granulosus,Astyanax altiparanae,Acestrorhybcus nuchalis,Acestrorhyncus lacustris,Group 2,Group 1,Hoplias malabaricus,Pinirampus pirinampu,Rhaphiodon vulpinis,Moenkhausia intermedia,Megaloancistrus parananus,Rhinelepis aspera,Other detritivores,Other omnivores,Other insectivores
Phytoplankton,0,0,0.5,0.1,0.3,0.2,0.15,0,0.3,0,0.05,0.05,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0
Macrophytes,0,0.2,0,0,0.7,0,0,0,0,0,0.3,0.3,0.4,0.5,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0
Periphyton,0.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.1,0.1
Benthos,0,0,0,0.1,0,0,0.15,0.35,0,0,0.05,0.05,0,0.1,0,0,0,0.05,0,0,0,0,0.1,0,0.15,0.1,0,0.1
Insects,0,0,0,0.2,0,0,0,0.2,0,0.15,0.2,0.2,0.6,0.1,0.3,0.7,0,0.02,0,0,0,0,0.1,0.6,0.3,0.2,0,0
Zooplankton,0,0,0,0,0,0,0,0.1,0.7,0.3,0,0,0,0.1,0.1,0.2,0,0.03,0,0,0,0,0,0.1,0.1,0.7,0,0
Loricaria sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.05,0,0.1,0,0,0,0,0,0,0
Schizodon borelii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.05,0,0.1,0,0,0,0,0,0,0
Hypostomus spp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.1,0,0,0,0,0,0,0
Prochilodus lineatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0.2,0,0,0,0,0,0
