"Angelini, R., Aloisio, G. R., and Carvalho, A. R. (2010). Mixed food web control and stability in a Cerrado River (Brazil). Pan-American Journal of Aquatic Sciences, 5, pp. 421-431.",,,,,,,,,
Corrente River - Brazil,Zooplanckton,Terrestrial Invertebrates,Astyanax fasciatus,Astyanax altiparanae,Brycon nattereri,Leporinus friderici,Hypostomus strigaticeps,Hoplias malabaricus,Salminus hilarii
Phytoplankton,0.4,0,0.001,0.02,0,0.004,0,0,0
Macrophytes,0,0.2,0.5,0.1,0.036,0.1,0,0.007,0
Zooplanckton,0,0,0,0,0,0,0,0,0
Terrestrial Invertebrates,0,0,0.192,0.85,0.742,0.634,0,0.361,0.025
Astyanax fasciatus,0,0,0,0,0,0,0,0.1,0.06
Astyanax altiparanae,0,0,0,0,0,0,0,0.5,0.74
Brycon nattereri,0,0,0,0,0,0,0,0,0.115
Leporinus friderici,0,0,0,0,0,0,0,0,0.05
Hypostomus strigaticeps,0,0,0,0,0,0,0,0,0.01
Hoplias malabaricus,0,0,0,0,0,0,0,0.03,0
Salminus hilarii,0,0,0,0,0,0,0,0,0
Detritus Animal,0,0,0.307,0.0006,0.001,0.01,0,0.001,0
Detritus,0.6,0.3,0,0,0.003,0,1,0.001,0
