"name";"bold";"eol";"tsn";"ncbi"
"Pseudoplatystoma reticulatus";NA;NA;NA;NA
"Serrasalmus";"48057";"13311848";"163278";"42515"
"Hypostomus plecostomus";"256109";"12401004";"164342";"163991"
"Sturisoma robustum";"673407";"29274818";"680556";"1748028"
"Tetragonopterus argenteus";"503637";"14181987";"162942";"642566"
"Chaetobranchopsis australis";"673404";"29292396";"649443";NA
"Psectrogaster curviventris";"545861";"24003729";"641616";"2259466"
"Moenkhausia";"48110";"22423301";"162990";"272068"
"Leporinus";"48090";"13679386";"163172";"7987"
"Gymnogeophagus balzanii";"509115";"16952325";"169924";"284725"
"Pimelodus";"48063";"13312799";"639055";"42504"
"Roeboides";"85858";"12379302";"641670";"71259"
"Steindachnerina";"98880";"13676395";"641756";"42615"
"Triportheus";"48059";"13700418";"163017";"42553"
"Pimelodella";"85820";"12429920";"681378";"71256"
"Astyanax";"23572";"13311831";"163033";"7993"
"Potamorhina squamoralevis";NA;"22425093";"641590";"2259464"
"Pseudopaludicola ternetzi";"519362";"21550439";"207994";"1477604"
"Loricariichthys";"48112";"13700463";"680458";"503149"
"Curimatella";"48118";"14180951";"640889";"143034"
"Hemiodus orthonops";"673406";"24042300";"641074";NA
"Acestrorhynchus pantaneiro";"453638";"16056592";"640370";"639296"
"Caimaninae";NA;"21666179";NA;"1294637"
"Pseudoplatystoma reticulatum";"269126";"24045532";NA;"594006"
"Curimatella dorsalis";"598304";"15762339";"640887";"930243"
"Cynopotamus kincaidi";NA;"31782131";"640911";"930244"
