"Angelini, R., Morais, R.J., Cattella, A.C., Resende, E.K., and Libralato, S. (2013). Aquatic food webs of the oxbow lakes in the Pantanal: A new site for fisheries guaranteed by alternated control?. Ecological Modelling, 253, pp. 82-96.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantanal Plain - Braco Morto Abaixo (MAB model) - Paraguay River Basin - Brazil,Mammals,Caymans,Birds,Zooplankton,Aquatic insects,Terrestrial insects,Schizodon borellii,S. robustum,T. argenteus,C. australis,P. reticulatus,H. orthonops,H. plecostomus,P. curviventris,P. corruscans,Moenkhausia spp,Loricaria spp,P. squamoralevis,A. nuchalis,Leporinus spp,P. ternetzi,A. pantaneiro,H. platyrhynchus,T. paraguayensis,H. malabaricus,Serrasalmus spp,G. balzanii,Pimelodus spp,Loricariichthys spp,Roeboides spp,Steindachnerina spp,Curimatella spp,Triportheus spp,Pimelodella spp,Astyanax sp
Phytoplankton,0,0,0,0.4,0,0,0,0,0,0.04,0,0.26,0,0,0,0.003,0,0,0,0.001,0,0,0,0.065,0,0,0.014,0,0,0,0.092,0,0.039,0.067,0.052
Macrophytes,0,0,0,0,0.2,0.4,0.5,0,0.03,0,0,0.7,0,0,0,0.00058,0,0,0,0.065,0,0,0,0,0,0.038,0,0,0,0.093,0,0.025,0,0.022,0.057
Mammals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caymans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zooplankton,0,0,0,0,0,0,0,0,0.08,0.5,0,0,0,0,0,0.564,0,0,0.026,0,0,0,0,0.532,0,0,0.243,0.06,0,0.217,0,0,0.135,0.011,0
Aquatic insects,0,0,0,0,0,0,0.1,0,0.795,0.02,0.026,0.01,0,0,0.026,0.026,0,0,0.932,0.03,0,0,0,0.049,0,0.057,0.012,0.093,0,0.362,0,0,0.02,0.655,0.45
Terrestrial insects,0,0,0,0,0,0,0,0,0.032,0,0.013,0.02,0,0,0,0.163,0,0,0.018,0,0,0,0,0.054,0.068,0.048,0.257,0.3,0,0,0,0,0.41,0.053,0.055
Schizodon borellii,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0.013,0,0,0,0,0,0,0.016,0,0,0.03,0.005,0,0,0,0,0,0,0,0,0
S. robustum,0,0,0.146,0,0,0,0,0,0,0,0,0,0,0,0.078,0,0,0,0,0,0.014,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
T. argenteus,0,0,0.006,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0.01,0.02,0,0,0,0,0,0,0,0.006,0
