"sp_taxon_1";"sp_taxon_2";"value";"type"
"Eurytoma brunniventris";"Synergus nervosus";"1";"parasitism"
"Eurytoma brunniventris";"S. gallae-pomiformis";"1";"parasitism"
"Eurytoma brunniventris";"Olynx arsames";"1";"parasitism"
"Eurytoma brunniventris";"Andricus curvator";"1";"parasitism"
"Eurytoma brunniventris";"gall tissue (Q. robur)";"1";"herbivory"
"Eupelmus urozonus";"Olynx arsames";"1";"parasitism"
"Eupelmus urozonus";"Andricus curvator";"1";"parasitism"
"Mesopolobus jucundus";"Eurytoma brunniventris";"1";"parasitism"
"Mesopolobus jucundus";"Synergus nervosus";"1";"parasitism"
"Mesopolobus jucundus";"S. gallae-pomiformis";"1";"parasitism"
"Mesopolobus jucundus";"Andricus curvator";"1";"parasitism"
"M. fasciiventris";"Eurytoma brunniventris";"1";"parasitism"
"M. fasciiventris";"Synergus nervosus";"1";"parasitism"
"M. fasciiventris";"S. gallae-pomiformis";"1";"parasitism"
"M. fasciiventris";"Andricus curvator";"1";"parasitism"
"M. fuscipes";"Eurytoma brunniventris";"1";"parasitism"
"M. fuscipes";"Synergus nervosus";"1";"parasitism"
"M. fuscipes";"S. gallae-pomiformis";"1";"parasitism"
"M. fuscipes";"Andricus curvator";"1";"parasitism"
"M. (sturovia) albitarsus";"Eurytoma brunniventris";"1";"parasitism"
"M. (sturovia) albitarsus";"Synergus nervosus";"1";"parasitism"
"M. (sturovia) albitarsus";"S. gallae-pomiformis";"1";"parasitism"
"M. (sturovia) albitarsus";"Andricus curvator";"1";"parasitism"
"M. tibialis";"Eurytoma brunniventris";"1";"parasitism"
"M. tibialis";"Synergus nervosus";"1";"parasitism"
"M. tibialis";"S. gallae-pomiformis";"1";"parasitism"
"M. tibialis";"Andricus curvator";"1";"parasitism"
"M. amaenus";"Eurytoma brunniventris";"1";"parasitism"
"M. amaenus";"Synergus nervosus";"1";"parasitism"
"M. amaenus";"S. gallae-pomiformis";"1";"parasitism"
"M. amaenus";"Andricus curvator";"1";"parasitism"
"Torymus auratus";"Eurytoma brunniventris";"1";"parasitism"
"Torymus auratus";"Synergus nervosus";"1";"parasitism"
"Torymus auratus";"S. gallae-pomiformis";"1";"parasitism"
"Torymus auratus";"Olynx arsames";"1";"parasitism"
"Torymus auratus";"Syntomaspis notata";"1";"parasitism"
"Torymus auratus";"Andricus curvator";"1";"parasitism"
"T. cynipedis";"Eurytoma brunniventris";"1";"parasitism"
"T. cynipedis";"Synergus nervosus";"1";"parasitism"
"T. cynipedis";"S. gallae-pomiformis";"1";"parasitism"
"T. cynipedis";"Olynx arsames";"1";"parasitism"
"T. cynipedis";"Syntomaspis notata";"1";"parasitism"
"T. cynipedis";"Andricus curvator";"1";"parasitism"
"Synergus nervosus";"gall tissue (Q. robur)";"1";"herbivory"
"S. gallae-pomiformis";"gall tissue (Q. robur)";"1";"herbivory"
"Olynx arsames";"Andricus curvator";"1";"parasitism"
"Syntomaspis notata";"Andricus curvator";"1";"parasitism"
"Andricus curvator";"gall tissue (Q. robur)";"1";"parasitism"
