"sp_taxon_1";"sp_taxon_2";"value";"type"
"Herpodbella octoculata";"Baetis spp. nymphs";"1";"predation"
"Herpodbella octoculata";"Chironomid larvae";"1";"predation"
"Herpodbella octoculata";"Simulium larvae";"1";"predation"
"Herpodbella octoculata";"Leuctra nymphs";"1";"predation"
"Ancylastrum fluviatile";"Diatoms (mostly Cocconeis)";"1";"herbivory"
"Ancylastrum fluviatile";"Desmids";"1";"herbivory"
"Ancylastrum fluviatile";"Other encrusting algae";"1";"herbivory"
"Ancylastrum fluviatile";"Plant tissue";"1";"herbivory"
"Ancylastrum fluviatile";"Detritus";"1";"commensalism"
"Gammarus pulex";"Chironomid larvae";"1";"predation"
"Gammarus pulex";"Diatoms (mostly Cocconeis)";"1";"herbivory"
"Gammarus pulex";"Desmids";"1";"herbivory"
"Gammarus pulex";"Other encrusting algae";"1";"herbivory"
"Gammarus pulex";"Filamentous algae";"1";"herbivory"
"Gammarus pulex";"Plant tissue";"1";"herbivory"
"Gammarus pulex";"Detritus";"1";"commensalism"
"Gammarus pulex";"Other ephemeropteran nymphs";"1";"predation"
"Perla carlukiana nymphs";"Baetis spp. nymphs";"1";"predation"
"Perla carlukiana nymphs";"Chimarrha marginata larvae";"1";"predation"
"Perla carlukiana nymphs";"Hydropsyche larvae";"1";"predation"
"Perla carlukiana nymphs";"Chironomid larvae";"1";"predation"
"Perla carlukiana nymphs";"Simulium larvae";"1";"predation"
"Perla carlukiana nymphs";"Filamentous algae";"1";"herbivory"
"Perla carlukiana nymphs";"Plectoptera (indeterm.)";"1";"predation"
"Perla carlukiana nymphs";"Other ephemeropteran nymphs";"1";"predation"
"Baetis spp. nymphs";"Diatoms (mostly Cocconeis)";"1";"herbivory"
"Baetis spp. nymphs";"Desmids";"1";"herbivory"
"Baetis spp. nymphs";"Other encrusting algae";"1";"herbivory"
"Baetis spp. nymphs";"Plant tissue";"1";"herbivory"
"Baetis spp. nymphs";"Detritus";"1";"commensalism"
"Ecdyonurus venosus nymphs";"Diatoms (mostly Cocconeis)";"1";"herbivory"
"Ecdyonurus venosus nymphs";"Desmids";"1";"herbivory"
"Ecdyonurus venosus nymphs";"Other encrusting algae";"1";"herbivory"
"Ecdyonurus venosus nymphs";"Filamentous algae";"1";"herbivory"
"Ecdyonurus venosus nymphs";"Plant tissue";"1";"herbivory"
"Ecdyonurus venosus nymphs";"Detritus";"1";"commensalism"
"Rhithrogena semicolorata nymphs";"Diatoms (mostly Cocconeis)";"1";"herbivory"
"Rhithrogena semicolorata nymphs";"Desmids";"1";"herbivory"
"Rhithrogena semicolorata nymphs";"Other encrusting algae";"1";"herbivory"
"Rhithrogena semicolorata nymphs";"Filamentous algae";"1";"herbivory"
"Rhithrogena semicolorata nymphs";"Pulverized masses";"1";"commensalism"
"Rhithrogena semicolorata nymphs";"Plant tissue";"1";"herbivory"
"Rhithrogena semicolorata nymphs";"Detritus";"1";"commensalism"
"Ephemerella ignita nymphs";"Chironomid larvae";"1";"predation"
"Ephemerella ignita nymphs";"Other encrusting algae";"1";"herbivory"
"Ephemerella ignita nymphs";"Filamentous algae";"1";"herbivory"
"Micronecta poweri nymphs";"Pulverized masses";"1";"commensalism"
"Glossosoma boltoni larvae";"Diatoms (mostly Cocconeis)";"1";"herbivory"
"Glossosoma boltoni larvae";"Desmids";"1";"herbivory"
"Glossosoma boltoni larvae";"Pulverized masses";"1";"commensalism"
"Glossosoma boltoni larvae";"Plant tissue";"1";"herbivory"
"Glossosoma boltoni larvae";"Detritus";"1";"commensalism"
"Chimarrha marginata larvae";"Diatoms (mostly Cocconeis)";"1";"herbivory"
"Chimarrha marginata larvae";"Desmids";"1";"herbivory"
"Chimarrha marginata larvae";"Other encrusting algae";"1";"herbivory"
"Notidobia larvae";"Filamentous algae";"1";"herbivory"
"Notidobia larvae";"Plant tissue";"1";"herbivory"
"Notidobia larvae";"Detritus";"1";"commensalism"
"Stenophylax stellatus";"Chironomid larvae";"1";"predation"
"Stenophylax stellatus";"Diatoms (mostly Cocconeis)";"1";"herbivory"
"Stenophylax stellatus";"Desmids";"1";"herbivory"
"Stenophylax stellatus";"Filamentous algae";"1";"herbivory"
"Hydropsyche larvae";"Baetis spp. nymphs";"1";"predation"
"Hydropsyche larvae";"Chironomid larvae";"1";"predation"
"Hydropsyche larvae";"Diatoms (mostly Cocconeis)";"1";"herbivory"
"Hydropsyche larvae";"Desmids";"1";"herbivory"
"Hydropsyche larvae";"Filamentous algae";"1";"herbivory"
"Hydropsyche larvae";"Plant tissue";"1";"herbivory"
"Hydropsyche larvae";"Detritus";"1";"commensalism"
"Hydropsyche larvae";"Protozoa (unspecified)";"1";"predation"
"Rhyacophila dorsalis larvae";"Baetis spp. nymphs";"1";"predation"
"Rhyacophila dorsalis larvae";"Hydropsyche larvae";"1";"predation"
"Rhyacophila dorsalis larvae";"Chironomid larvae";"1";"predation"
"Rhyacophila dorsalis larvae";"Simulium larvae";"1";"predation"
"Rhyacophila dorsalis larvae";"Plectoptera (indeterm.)";"1";"predation"
"Polycentropus flavomaculatus larvae";"Baetis spp. nymphs";"1";"predation"
"Polycentropus flavomaculatus larvae";"Rhyacophila dorsalis larvae";"1";"predation"
"Polycentropus flavomaculatus larvae";"Chironomid larvae";"1";"predation"
"Polycentropus flavomaculatus larvae";"Simulium larvae";"1";"predation"
"Polycentropus flavomaculatus larvae";"Plant tissue";"1";"herbivory"
"Polycentropus flavomaculatus larvae";"Detritus";"1";"commensalism"
"Polycentropus flavomaculatus larvae";"Other ephemeropteran nymphs";"1";"predation"
"Helmid larvae";"Diatoms (mostly Cocconeis)";"1";"herbivory"
"Helmid larvae";"Desmids";"1";"herbivory"
"Helmid larvae";"Other encrusting algae";"1";"herbivory"
"Helmid larvae";"Plant tissue";"1";"herbivory"
"Helmid larvae";"Detritus";"1";"commensalism"
"Chironomid larvae";"Diatoms (mostly Cocconeis)";"1";"herbivory"
"Chironomid larvae";"Desmids";"1";"herbivory"
"Chironomid larvae";"Filamentous algae";"1";"herbivory"
"Chironomid larvae";"Plant tissue";"1";"herbivory"
"Chironomid larvae";"Detritus";"1";"commensalism"
"Simulium larvae";"Chironomid larvae";"1";"predation"
"Simulium larvae";"Diatoms (mostly Cocconeis)";"1";"herbivory"
"Simulium larvae";"Desmids";"1";"herbivory"
"Simulium larvae";"Other encrusting algae";"1";"herbivory"
"Simulium larvae";"Filamentous algae";"1";"herbivory"
"Simulium larvae";"Pulverized masses";"1";"commensalism"
"Simulium larvae";"Plant tissue";"1";"herbivory"
"Simulium larvae";"Detritus";"1";"commensalism"
"Salmo salar fry (0.3-5 cm)";"Baetis spp. nymphs";"1";"predation"
"Salmo salar fry (0.3-5 cm)";"Micronecta poweri nymphs";"1";"predation"
"Salmo salar fry (0.3-5 cm)";"Chimarrha marginata larvae";"1";"predation"
"Salmo salar fry (0.3-5 cm)";"Chironomid larvae";"1";"predation"
"Salmo salar fry (0.3-5 cm)";"Diatoms (mostly Cocconeis)";"1";"herbivory"
"Salmo salar fry (0.3-5 cm)";"Desmids";"1";"herbivory"
"Salmo salar fry (0.3-5 cm)";"Filamentous algae";"1";"herbivory"
"Salmo salar fry (0.3-5 cm)";"Protozoa (unspecified)";"1";"predation"
"Salmo salar fry (0.3-5 cm)";"Leuctra nymphs";"1";"predation"
"Salmo salar fry (0.3-5 cm)";"Other ephemeropteran nymphs";"1";"predation"
"Salmo salar fry (0.3-5 cm)";"Adult Diptera";"1";"predation"
"Salmo salar fry (0.3-5 cm)";"Entomostraca (unspec.)";"1";"predation"
"Salmo salar fry (0.3-5 cm)";"Collembola (unspec.)";"1";"predation"
"Salmo salar fry (0.3-5 cm)";"Adult helmids";"1";"predation"
"Phoxinus phoxinus (2.0-2.9 mm)";"Baetis spp. nymphs";"1";"predation"
"Phoxinus phoxinus (2.0-2.9 mm)";"Chimarrha marginata larvae";"1";"predation"
"Phoxinus phoxinus (2.0-2.9 mm)";"Chironomid larvae";"1";"predation"
"Phoxinus phoxinus (2.0-2.9 mm)";"Diatoms (mostly Cocconeis)";"1";"herbivory"
"Phoxinus phoxinus (2.0-2.9 mm)";"Desmids";"1";"herbivory"
"Phoxinus phoxinus (2.0-2.9 mm)";"Filamentous algae";"1";"herbivory"
"Phoxinus phoxinus (2.0-2.9 mm)";"Plant tissue";"1";"herbivory"
"Phoxinus phoxinus (2.0-2.9 mm)";"Detritus";"1";"commensalism"
"Phoxinus phoxinus (2.0-2.9 mm)";"Protozoa (unspecified)";"1";"predation"
"Phoxinus phoxinus (2.0-2.9 mm)";"Adult Diptera";"1";"predation"
"Phoxinus phoxinus (2.0-2.9 mm)";"Entomostraca (unspec.)";"1";"predation"
"Phoxinus phoxinus (2.0-2.9 mm)";"Collembola (unspec.)";"1";"predation"
"Leuctra nymphs";"Filamentous algae";"1";"herbivory"
"Leuctra nymphs";"Plant tissue";"1";"herbivory"
"Leuctra nymphs";"Detritus";"1";"commensalism"
"Plectoptera (indeterm.)";"Filamentous algae";"1";"herbivory"
"Plectoptera (indeterm.)";"Plant tissue";"1";"herbivory"
"Plectoptera (indeterm.)";"Detritus";"1";"commensalism"
"Other ephemeropteran nymphs";"Diatoms (mostly Cocconeis)";"1";"herbivory"
"Other ephemeropteran nymphs";"Desmids";"1";"herbivory"
"Other ephemeropteran nymphs";"Plant tissue";"1";"herbivory"
"Other ephemeropteran nymphs";"Detritus";"1";"commensalism"
"Adult helmids";"Plant tissue";"1";"herbivory"
"Adult helmids";"Detritus";"1";"commensalism"
