"Baeta, A., Niquil, N., Marques, JC., and Patricio, J. (2011). Modelling the effects of eutrophication, mitigation measures and an extreme flood event on estuarine benthic food webs. Ecological Modelling, 222, pp. 1209-1221.",,,,,,,,,,,,,,,,
Bare sediment 1999/00- Mondego estuarine ecosystem - Portugal,Zooplankton,Melita palmata,Cerastoderma edule,Scrobicularia plana,Carcinus maenas,Crangon crangon,Hydrobia ulvae,Cyathura carinata,Alkmaria romijni,Capitella capitata,Hediste diversicolor,Heteromastus filiformis,Mediomastus fragilis,Pygospio elegans,Streblospio shrubsolii,Oligochaets
Phytoplankton,0.98,0,0.85,0.25,0,0,0,0,0.1,0,0.05,0,0,0.6,0,0
Microphytobenthos,0,0.15,0.05,0.4,0,0,0.75,0,0,0,0.08,0,0,0,0,0
Green macroalgae,0,0.5,0,0,0.04,0.05,0,0,0,0,0,0,0,0,0,0
Zooplankton,0.02,0,0,0,0.06,0.1,0,0,0,0,0,0,0,0,0,0
Melita palmata,0,0,0,0,0.004,0.004,0,0,0,0,0.001,0,0,0,0,0
Cerastoderma edule,0,0,0,0,0.001,0.001,0,0,0,0,0.001,0,0,0,0,0
Scrobicularia plana,0,0,0,0,0.14,0.16,0,0,0,0,0.08,0,0,0,0,0
Carcinus maenas,0,0,0,0,0.06,0.03,0,0.002,0,0,0,0,0,0,0,0
Crangon crangon,0,0,0,0,0.18,0.04,0,0,0,0,0,0,0,0,0,0
Hydrobia ulvae,0,0,0,0,0.004,0.02,0,0,0,0,0.01,0,0,0,0,0
Cyathura carinata,0,0,0,0,0.05,0.04,0,0,0,0,0,0,0,0,0,0
Alkmaria romijni,0,0,0,0,0,0.005,0,0.002,0,0,0,0,0,0,0,0
Capitella capitata,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
Hediste diversicolor,0,0,0,0,0.11,0.09,0,0.005,0,0,0,0,0,0,0,0
Heteromastus filiformis,0,0,0,0,0.001,0.03,0,0.001,0,0,0.02,0,0,0,0,0
Mediomastus fragilis,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0
Pygospio elegans,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0
Streblospio shrubsolii,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0
Oligochaets,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0
Detritus,0,0.35,0.1,0.35,0.15,0.35,0.25,0.99,0.9,1,0.75,1,1,0.4,1,1
Imports,0,0,0,0,0.2,0.08,0,0,0,0,0,0,0,0,0,0
