"Baeta, A., Niquil, N., Marques, JC., and Patricio, J. (2011). Modelling the effects of eutrophication, mitigation measures and an extreme flood event on estuarine benthic food webs. Ecological Modelling, 222, pp. 1209-1221.",,,,,,,,,,,,,,,,,,,
Zostera 2001/02 - Mondego estuarine ecosystem - Portugal,Zooplankton,Amphithoe valida,Melita palmata,Cerastoderma edule,Scrobicularia plana,Carcinus maenas,Crangon crangon,Hydrobia ulvae,Littorina littorea,Cyathura carinata,Idotea chelipes,Alkmaria romijni,Capitella capitata,Hediste diversicolor,Heteromastus filiformis,Lagis koreni,Mista picta,Streblospio shrubsolii,Oligochaets
Phytoplankton,0.98,0,0,0.8,0.2,0,0,0,0,0,0,0.1,0,0.05,0,0,0,0,0
Microphytobenthos,0,0.1,0.1,0.1,0.2,0,0,0.32,0.05,0,0.1,0,0,0.04,0,0,0,0,0
Green macroalgae,0,0.15,0.15,0,0,0.04,0.05,0,0.4,0,0.15,0,0,0,0,0,0,0,0
Zostera noltii,0,0,0,0,0,0,0,0,0.2,0,0.05,0,0,0,0,0,0,0,0
Zooplankton,0.02,0,0,0,0,0.06,0.08,0,0,0,0,0,0,0,0,0,0,0,0
Ampithoe valida,0,0,0,0,0,0.001,0.001,0,0,0.001,0,0,0,0.001,0,0,0,0,0
Melita palmata,0,0,0,0,0,0.001,0.001,0,0,0.001,0,0,0,0.001,0,0,0,0,0
Cerastoderma edule,0,0,0,0,0,0.01,0.005,0,0,0,0,0,0,0.002,0,0,0,0,0
Scrobicularia plana,0,0,0,0,0,0.11,0.14,0,0,0,0,0,0,0.055,0,0,0,0,0
Carcinus maenas,0,0,0,0,0,0.06,0.01,0,0,0.07,0,0,0,0,0,0,0,0,0
Crangon crangon,0,0,0,0,0,0.14,0.01,0,0,0,0,0,0,0,0,0,0,0,0
Hydrobia ulvae,0,0,0,0,0,0.02,0.05,0,0,0,0,0,0,0.095,0,0,0,0,0
Littorina littorea,0,0,0,0,0,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0
Cyathura carinata,0,0,0,0,0,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Idotea chelipes,0,0,0,0,0,0.001,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0
Alkmaria romijni,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0.001,0,0,0,0,0
Capitella capitata,0,0,0,0,0,0,0.011,0,0,0.007,0,0,0,0.005,0,0,0.02,0,0
Hediste diversicolor,0,0,0,0,0,0.26,0.23,0,0,0.161,0,0,0,0,0,0,0.86,0,0
Heteromastus filiformis,0,0,0,0,0,0.001,0.005,0,0,0.005,0.1,0,0,0.005,0,0,0.01,0,0
Lagis koreni,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0
Mista picta,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.001,0,0,0,0,0
Streblospio shrubsolii,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.002,0,0,0.005,0,0
Oligochaets,0,0,0,0,0,0.001,0.003,0,0,0.002,0.15,0,0,0.002,0,0,0.005,0,0
Detritus,0,0.75,0.75,0.1,0.6,0.1,0.3,0.68,0.35,0.75,0.45,0.9,1,0.74,1,1,0.1,1,1
Imports,0,0,0,0,0,0.18,0.06,0,0,0,0,0,0,0,0,0,0,0,0
