"name";"bold";"eol";"tsn";"ncbi"
"Quiscalus quiscula";"16986";"12108747";"179104";"84782"
"Zonotrichia albicollis";"9893";"11177455";"179462";"44394"
"Junco hyemalis";"9794";"10263001";"179414";"40217"
"Cardinalis cardinalis";"11340";"12090215";"179128";"98964"
"Dendroica coronata";NA;"21721179";NA;"111975"
"Parus atricapillus";NA;"21721030";NA;"48891"
"Catharus guttata";NA;NA;NA;NA
"Parus bicolor";NA;"21900763";NA;"88114"
"Mimus polyglottos";"9726";"10660986";"178620";"60713"
"Bombycilla cedrorum";"9606";"11189635";"178532";"161648"
"Melanerpes carolinensis";NA;NA;NA;NA
"Sturnus vulgaris";"9649";"10494980";"917447";"9172"
"Carpodacus purpureus";NA;"18629998";NA;"142468"
"Colaptes auratus";"10301";"12089882";"178159";"51355"
"Zenaidura macroura";NA;NA;NA;NA
"Euphagus carolinus";"11436";"12092560";"179091";"84801"
"Pipilo erythrophtalmus";NA;NA;NA;NA
"Vitis";"121316";"10518192";"28610";"3603"
"Celastrus orbiculatus";"403667";"12140103";"506068";"85181"
"Lindera benzoin";"125293";"12368869";"18147";"55958"
"Rhus radicans";NA;"25082637";NA;"43853"
"Smilax rotundifolia";"438574";"13386315";"43346";"72647"
"Lonicera japonica";"314331";"11771070";"35283";"105884"
