"name";"bold";"eol";"tsn";"ncbi"
"Lestodiplosis syringopais";NA;"24708655";NA;NA
"Megaselia nepenthina";NA;"6462502";NA;NA
"Endonepenthia schuitemakeri";NA;"24709212";NA;NA
"Tripteroides tenax";NA;NA;NA;NA
"Tripteroides bambusa";"153759";"24708925";NA;"53568"
"Dasyhelea nepenthicola";NA;"24676941";NA;NA
"Culex curtipalpis";NA;"24706737";NA;NA
"Culex lucaris";NA;"24706728";NA;NA
"Misumenops nepenthicola";NA;"26063471";"883853";"426820"
"Encyrtidae";"71380";"11934135";"153945";"29051"
"Toxorhynchites klossi";NA;"24707466";NA;NA
"Nepenthosyrphus";NA;"6453806";NA;NA
"Pierretia urceola";NA;"24632054";NA;NA
"Anoetidae";NA;NA;NA;"66576"
"Corethrella calathicola";NA;"24706059";NA;"2038294"
"Uranotaenia moultoni";NA;"31291234";NA;NA
"Tripteroides nepenthis";NA;NA;NA;NA
"Dasyhelea ampullariae";NA;"24708662";NA;NA
"Culex acutipalus";NA;"24706746";NA;NA
"Culex navalis";NA;"24706715";NA;NA
"Culex hewitti";NA;"24706736";NA;NA
"Xenoplatyura beaveri";NA;NA;NA;NA
"Nepenthomyia malayana";NA;"24676936";NA;NA
"Megaselia deningi";NA;"24676878";NA;NA
"Trybliographa";"80880";"24670650";NA;"303530"
"Tripteroides dofleini";NA;NA;NA;NA
"Uranotaenia nivipleura";NA;"30981501";NA;"1245378"
"Zwickia guentheri";NA;"6610283";NA;NA
"Chloropidae";"183621";"11936950";"147644";"29032"
"Uranotaenia belkini";NA;"24676939";NA;NA
"Uranotaenia bosseri";NA;"24676937";NA;NA
"Uranotaenia bruhesi";NA;NA;NA;NA
"Uranotaenia damasei";NA;"24676934";NA;NA
"Theridion";"4970";"12136344";"855718";"233487"
"Creutzeria";NA;"6610310";NA;NA
"Uranotaenia nepenthes";NA;"24707630";NA;NA
"Creutzeria seychellensis";NA;"6610311";NA;NA
