"R.A. Beaver. (1985). Geographical variation in food web structure in Nepenthes pitcher plants. Ecological Entomology, 10, pp. 241-248.",,,,,,,,,,,,,,,
Pitcher plant fauna (N. ampullaria) W. Malaysia,Xenoplatyura beaveri,Corethrella calathicola,Uranotaenia moultoni,Tripteroides tenax,T. nepenthis,T. bambusa,Dasyhelea ampullariae,D. nepenthicola,Nepenthomyia malayana,Culex acutipalus,C. navalis,C. hewitti,Anoetidae sp. 1,Anoetidae sp. 2,bacteria/protozoa
Corethrella calathicola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uranotaenia moultoni,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripteroides tenax,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T. nepenthis,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T. bambusa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dasyhelea ampullariae,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
D. nepenthicola,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Culex acutipalus,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C. navalis,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C. hewitti,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bacteria/protozoa,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0
live insects,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recently drowned insects,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1
older organic debris,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
