"name";"bold";"eol";"tsn";"ncbi"
"Urocitellus richardsonii";"741565";"24122466";"930322";"37591"
"Circinae";NA;NA;NA;NA
"Canis latrans";"12513";"15338559";"726798";"9614"
"Buteo jamaicensis";"10316";"13544832";"824476";"56263"
"Mustelidae";"1278";"11982685";"180545";"9655"
"Ictidomys tridecemlineatus";"717137";"7221834";"931117";"43179"
"Geomyidae";"1022";"15907664";"180213";"10010"
"Bubo virginianus";"9495";"13316572";"686895";"56268"
"Hemiptera";"133";"11819279";NA;"7524"
"Caelifera";NA;"25945595";"102161";"7001"
"Araneae";"251";"11937112";NA;"6893"
"Elateridae";"1083";"12645424";"113879";"30009"
"Sturnella";"4731";"13544917";"563160";"56328"
"Spizella passerina";"9836";"15328461";"179435";"40210"
"Spizella pallida";"9834";"15931643";"179439";"40211"
"Pooecetes gramineus";"9853";"16028078";"179366";"198943"
"Eremophila alpestris";"9730";"12090520";"178411";"135430"
"Bartramia longicauda";"10225";"13312945";"176610";"279933"
"Anura";"219";"12071720";"67350";"8342"
"Thamnophis";"52830";"15452389";"174144";"34999"
"Agropyron";"121011";"12276917";NA;"4592"
"Stipa";"293973";"11953889";"155536";"15869"
"Helianthus";"125295";"12365528";"36623";"4231"
"Galerucella decora";NA;NA;NA;NA
"Quiscalus";"4732";"13544836";"562672";"64277"
"Melospiza melodia";"19858";"13544822";"179506";"44397"
"Geothlypis trichas";"11648";"13544920";"178954";"135433"
"Setophaga petechia";"670051";"12221309";"950157";"123631"
"Pontania petiolaridis";NA;"31413167";NA;"1714320"
"Disyonicha quinquevitata";NA;NA;NA;NA
"Rana pipiens";"8702";"30555658";"173443";"8404"
"Salix discolor";"126342";"21565469";"22524";"75709"
"Salix petiolaris";"126355";"24692675";"22567";"1242996"
"Poecile";"4714";"13100843";"560768";"142475"
"Empidonax minimus";"9933";"14955591";"178344";"28730"
"Vireo gilvus";"95391";"14058037";"179023";"34945"
"Catharus fuscescens";"16053";"13702714";"179796";"159581"
"Canker";NA;NA;NA;NA
"Fomes";"150263";"7677759";NA;"40441"
"Picoides villosus";"10341";"21720662";"686315";"51356"
"Diceratiidae";"269976";"12784641";"164615";"412631"
"Saperda";"155393";"14283737";"703236";"294790"
"Accipiter";"4451";"11928550";"175308";"8956"
"Myodes";"64745";"13467406";"970610";"447134"
"Accipiter cooperii";"17509";"14955458";"175309";"261198"
"Bonasa umbellus";"10423";"20903033";"175800";"9000"
"Troglodytes aedon";"9759";"13544935";"917896";"58211"
"Parasitiformes";NA;"25847327";"82758";"6934"
"Lepus americanus";"708393";"17021736";"180112";"48086"
"Vireo olivaceus";"11236";"13066233";"919717";"28733"
"Spinus tristis";"745830";"21557607";"179249";"54773"
"Dumetella carolinensis";"9728";"13974395";"178625";"111981"
"Toxostoma rufum";"17035";"16370642";"178627";"58210"
"Pipilo";"4681";"21291250";"562174";"40200"
"Turdus migratorius";"9562";"13068839";"179759";"9188"
"Poliocitellus franklinii";"741560";"24125483";"930309";"45470"
"Picoides pubescens";"10337";"21721086";"178259";"118200"
"Accipiter striatus";"12466";"13676309";"175304";"56330"
"Populus";"2822";"12103173";"22457";"3689"
"Cornus";"100950";"12357228";"27809";"4281"
"Corylus";"121833";"13105051";"845192";"13450"
"Pyrola";"121411";"13037932";"524615";"13650"
"Aralia";"121206";"15017668";"29378";"13340"
"Symphoricarpos";"224520";"13338280";"35339";"13701"
"Amelanchier";"121754";"12846627";"25120";"23139"
"Colaptes";"3074";"13675884";"553535";"9221"
"Leporidae";"1552";"12092960";"180110";"9979"
"Mephitidae";"1353";"13975436";"552336";"119825"
"Microtus ochrogaster";"70854";"21607137";"180312";"79684"
"Marmotini";NA;"25960881";"930212";"337730"
"Agrostis";"120919";"11928346";"40412";"15297"
"Fulica";"3258";"11928135";"176296";"9120"
"Formicidae";"685";"11932321";NA;"36668"
