"name";"bold";"eol";"tsn";"ncbi"
"Porolithon";NA;"12447314";"183151";"231753"
"Lithophyllum";"246375";"11987721";"12363";"48954"
"Spirobranchus giganteus";"764859";"12005683";"68304";"1914524"
"Fissurella barbadensis";"651064";"12161014";"69639";"702828"
"Acmaea jamaicensis";NA;"15057357";NA;NA
"Tetraclita squamosa";"105366";"12131773";"89661";"32276"
"Acanthopleura granulata";"30129";"11832082";"79028";"61363"
"Echinometra lucunter";"174135";"12014251";"157958";"105361"
"Grapsus grapsus";"399200";"11318031";"99072";"106756"
"Plicopurpura patula";"507786";"12380913";"568108";"51625"
"Nodilittorina tuberculata";NA;"14076275";"70477";"196955"
