Unpublished observations. F. Briand (1985). Source: ECOWeB1.1,,,,,,,,,,,
Western rocky shore - Barbados,Nodolittorina tuberculata - Littorina sp.,Fissurella barbadensis - Acmaea jamaicensis,Enchinometra lucunter,sponges,Spirobranchus giganteus,Tetraclita squamosa,bryozoans,Acanthopleura granulata,Grapsus grapsus,Purpura patula,reef fishes
Porolithon - Lithophyllum,0,0,0,0,0,0,0,1,0,0,0
Chaetomorpha - Enteromorpha - Cladophora - diatoms,1,1,1,0,0,0,0,1,0,0,0
organic debris,0,0,1,0,0,0,0,0,1,0,0
plankton - detritus,0,0,0,1,1,1,1,0,0,0,0
Fissurella barbadensis - Acmaea jamaicensis,0,0,0,0,0,0,0,0,0,1,0
Enchinometra lucunter,0,0,0,0,0,0,0,0,0,0,1
sponges,0,0,0,0,0,0,0,1,1,0,1
Spirobranchus giganteus,0,0,0,0,0,0,0,0,1,0,0
Tetraclita squamosa,0,0,0,0,0,0,0,0,0,1,0
bryozoans,0,0,0,0,0,0,0,0,1,0,0
Acanthopleura granulata,0,0,0,0,0,0,0,0,0,1,0
Grapsus grapsus,0,0,0,0,0,0,0,0,0,0,1
Purpura patula,0,0,0,0,0,0,0,0,0,0,1
