"Brown, A.C. (1964). Food relationships on the intertidal sandy beaches of the Cape Peninsula. S. Afr. J. Sci. 60:35-41. ",,,,,,,,,,,,,,,,,,,
Sand beach - South Africa,Gastrosaccus - Callianassa - Donax,bacteria,Cumacea,Turbellaria,Nemertea,Bathyporeia,Bullia,Talorchestia,errant polychaeta,Larus,isopods,protozoa,Curlew sandpiper,Sanderling,Ovalipes,sedentary polychaeta,nematode worms,elasmobranch fishes,predatory fishes
detritus,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0
organic macrodebris,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
Gastrosaccus - Callianassa - Donax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bacteria,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cumacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Turbellaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nemertea,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bathyporeia,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Bullia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Talorchestia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
errant polychaeta,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
isopods,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
protozoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Ovalipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sedentary polychaeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
