"sp_taxon_1";"sp_taxon_2";"value";"type"
"burrowing ephemerids";"detritus";"1";"commensalism"
"Oligochaeta";"detritus";"1";"commensalism"
"Chironomidae";"detritus";"1";"commensalism"
"Gastropoda";"detritus";"1";"commensalism"
"Gastropoda";"phytoplankton";"1";"herbivory"
"zooplankton";"phytoplankton";"1";"herbivory"
"Amnicolidae";"phytoplankton";"1";"herbivory"
"herbivorous insects";"phytoplankton";"1";"herbivory"
"Pelecypoda";"detritus";"1";"commensalism"
"Pelecypoda";"phytoplankton";"1";"herbivory"
"Pelecypoda";"zooplankton";"1";"predation"
"Potamya";"phytoplankton";"1";"herbivory"
"Potamya";"zooplankton";"1";"predation"
"macrocrustacea";"zooplankton";"1";"predation"
"Oecetis";"Chironomidae";"1";"predation"
"Sialis";"burrowing ephemerids";"1";"predation"
"Sialis";"Chironomidae";"1";"predation"
"carnivorous Diptera";"Oligochaeta";"1";"predation"
"carnivorous Diptera";"Chironomidae";"1";"predation"
"Gomphus";"burrowing ephemerids";"1";"predation"
"Gomphus";"Oligochaeta";"1";"predation"
"Gomphus";"Chironomidae";"1";"predation"
"Gomphus";"Gastropoda";"1";"predation"
"Gomphus";"Amnicolidae";"1";"predation"
"Gomphus";"herbivorous insects";"1";"predation"
"Gomphus";"Pelecypoda";"1";"predation"
"Gomphus";"Potamya";"1";"predation"
"Gomphus";"macrocrustacea";"1";"predation"
"Gomphus";"Oecetis";"1";"predation"
"Gomphus";"carnivorous Diptera";"1";"predation"
"ducks (Lesser Scaup)";"Chironomidae";"1";"predation"
"ducks (Lesser Scaup)";"Gastropoda";"1";"predation"
"ducks (Lesser Scaup)";"Amnicolidae";"1";"predation"
"ducks (Lesser Scaup)";"Pelecypoda";"1";"predation"
"ducks (Lesser Scaup)";"Potamya";"1";"predation"
"benthos-eating fish";"phytoplankton";"1";"herbivory"
"benthos-eating fish";"burrowing ephemerids";"1";"predation"
"benthos-eating fish";"Chironomidae";"1";"predation"
"benthos-eating fish";"Gastropoda";"1";"predation"
"benthos-eating fish";"zooplankton";"1";"predation"
"benthos-eating fish";"Amnicolidae";"1";"predation"
"benthos-eating fish";"herbivorous insects";"1";"predation"
"benthos-eating fish";"Pelecypoda";"1";"predation"
"benthos-eating fish";"Potamya";"1";"predation"
"benthos-eating fish";"macrocrustacea";"1";"predation"
"benthos-eating fish";"Oecetis";"1";"predation"
"benthos-eating fish";"Sialis";"1";"predation"
"benthos-eating fish";"carnivorous Diptera";"1";"predation"
"benthos-eating fish";"Gomphus";"1";"predation"
"piscivorous fish";"benthos-eating fish";"1";"predation"
"Hirudinea";"detritus";"1";"commensalism"
"Hirudinea";"burrowing ephemerids";"1";"predation"
"Hirudinea";"Oligochaeta";"1";"predation"
"Hirudinea";"Chironomidae";"1";"predation"
"Hirudinea";"Gastropoda";"1";"predation"
"Hirudinea";"Amnicolidae";"1";"predation"
"Hirudinea";"macrocrustacea";"1";"predation"
"Hirudinea";"benthos-eating fish";"1";"predation"
"mammals";"macrocrustacea";"1";"predation"
"mammals";"ducks (Lesser Scaup)";"1";"predation"
"mammals";"benthos-eating fish";"1";"predation"
"mammals";"piscivorous fish";"1";"predation"
