"orignial_name";"name_clear"
"detritus";"Detritus"
"phytoplankton";"Phytoplankton"
"zooplankton";"Zooplankton"
"Chironomidae";"Chironomidae"
"burrowing ephemerids";"Ephemeridae"
"Oligochaeta";"Oligochaeta"
"Gastropoda";"Gastropoda"
"Amnicolidae";"Amnicolidae"
"herbivorous insects";"Insecta"
"Pelecypoda";"Bivalvia"
"Potamya";"Potamya"
"macrocrustacea";"Crustacea"
"Oecetis";"Oecetis"
"carnivorous Diptera";"Diptera"
"Sialis";"Sialis"
"Gomphus";"Gomphus"
"benthos-eating fish";"Pisces"
"ducks (Lesser Scaup)";"Aythya affinis"
"piscivorous fish";"Pisces"
"Hirudinea";"Hirudinea"
"mammals";"Mammalia"
