"name";"bold";"eol";"tsn";"ncbi"
"Hydrotaea armipes";"287562";"13401324";"150121";"1230141"
"Figites laevigatus";NA;NA;NA;NA
"Aleochara curtula";"81976";"13108918";"725353";"135881"
"Alysia manducator";"375134";"13931140";NA;NA
"Metacantharis clypeata";"496958";"15270486";NA;"1588237"
"Harpalus rufipes";"247512";"12377240";"111206";"247442"
"Pterostichus niger";"226199";"12427400";NA;"106386"
"Thereva";"393895";"11153174";"132019";"95078"
"Nabis lativentris";NA;NA;NA;NA
"Nicrophorus humator";"167875";"12431960";"718728";"307046"
"Nicrophorus vespillo";"201040";"13044605";"718773";"483353"
"Thanotophilus rugosus";NA;NA;NA;NA
"Thanatophilus sinuatus";"226204";"13352718";NA;"414939"
"Ptomophagus subvillosus";NA;"21476703";NA;NA
"Catops fuscus";"372514";"14296571";NA;"1415201"
"Catops kirbii";NA;"13360357";NA;"1415203"
"Saprinus semistriatus";"330227";"13611607";"807502";"1038842"
"Hister striola";NA;"21432909";NA;NA
"Hister cadaverinus";NA;NA;NA;NA
"Hister carbonarius";NA;NA;NA;NA
"Myrmica laevinodes";NA;NA;NA;NA
"Liopiophila varipes";"13761";"13370507";"143263";"1603422"
"Vespula vulgaris";"78272";"21261727";NA;"7454"
"Fannia scalaris";"228583";"15286739";"151462";"1297059"
"Cercyon lateralis";"309421";"13347084";"113058";"877900"
"Cercyon unipunctatus";"310156";"13127000";"113055";"877908"
