"sp_taxon_1";"sp_taxon_2";"value";"type"
"Centroptilum";"Diatoms";"1";"herbivory"
"Stenonema";"Diatoms";"1";"herbivory"
"Chimarra";"Diatoms";"1";"herbivory"
"Tipula sp. 1";"Diatoms";"1";"herbivory"
"Habrophleboides";"Diatoms";"1";"herbivory"
"Prosimulium";"Diatoms";"1";"herbivory"
"Corynoneura";"Diatoms";"1";"herbivory"
"Psychomyia";"Diatoms";"1";"herbivory"
"Polypedilum";"Diatoms";"1";"herbivory"
"Ephemera";"Diatoms";"1";"herbivory"
"Ephemera";"Detritus";"1";"commensalism"
"Agapetus";"Diatoms";"1";"herbivory"
"Psilotreta";"Diatoms";"1";"herbivory"
"Stenelmis";"Diatoms";"1";"herbivory"
"Isonychia";"Diatoms";"1";"herbivory"
"Geora";"Diatoms";"1";"herbivory"
"Antocha";"Diatoms";"1";"herbivory"
"Helicopsyche";"Diatoms";"1";"herbivory"
"Psephenus";"Diatoms";"1";"herbivory"
"Eukiefferiella";"Diatoms";"1";"herbivory"
"Eukiefferiella";"Detritus";"1";"commensalism"
"Pycnopsyche";"Detritus";"1";"commensalism"
"Tipula sp. 2";"Detritus";"1";"commensalism"
"Brillia";"Detritus";"1";"commensalism"
"Microtendipes";"Detritus";"1";"commensalism"
"Tanytorsus";"Detritus";"1";"commensalism"
"Hydropsyche";"Diatoms";"1";"herbivory"
"Hydropsyche";"Detritus";"1";"commensalism"
"Hydropsyche";"Tanytorsus";"1";"predation"
"Cottus";"Centroptilum";"1";"predation"
"Cottus";"Stenonema";"1";"predation"
"Cottus";"Chimarra";"1";"predation"
"Cottus";"Tipula sp. 1";"1";"predation"
"Cottus";"Habrophleboides";"1";"predation"
"Cottus";"Prosimulium";"1";"predation"
"Cottus";"Polypedilum";"1";"predation"
"Cottus";"Eukiefferiella";"1";"predation"
"Phasganophora";"Habrophleboides";"1";"predation"
"Nigronia";"Habrophleboides";"1";"predation"
"Phasganophora";"Prosimulium";"1";"predation"
"Nigronia";"Prosimulium";"1";"predation"
"Antherix";"Tanytorsus";"1";"predation"
"Eucalia";"Tanytorsus";"1";"predation"
"Cyrnellus";"Pycnopsyche";"1";"predation"
"Cyrnellus";"Tipula sp. 2";"1";"predation"
"Chenmatopsyche";"Diatoms";"1";"herbivory"
"Chenmatopsyche";"Tanytorsus";"1";"predation"
"Pentaneura";"Corynoneura";"1";"predation"
"Pentaneura";"Psychomyia";"1";"predation"
"Pentaneura";"Polypedilum";"1";"predation"
"Pentaneura";"Pycnopsyche";"1";"predation"
"Pentaneura";"Tipula sp. 2";"1";"predation"
"Pentaneura";"Tanytorsus";"1";"predation"
