"name";"bold";"eol";"tsn";"ncbi"
"Tanytarsus";"26970";"12389926";"129875";"288802"
"Centroptilum";"96031";"13037800";"100880";"197149"
"Stenonema";"5876";"21773816";"100507";"178296"
"Chimarra";"1980";"12117218";"115278";"177910"
"Habrophleboides";NA;NA;NA;NA
"Pycnopsyche";"95620";"21289231";"116413";"50646"
"Psychomyia";"95638";"13121671";"115339";"177920"
"Agapetus";"5541";"12120430";"115255";"177627"
"Psilotreta";"5692";"21142621";"116503";"177845"
"Stenelmis";"6203";"12387620";"114101";"195300"
"Isonychia";"5903";"21160712";"101051";"219470"
"Geora";"130146";NA;NA;NA
"Antocha";"178442";"13171790";"119660";"454619"
"Helicopsyche";"5307";"12276224";"117025";"177802"
"Psephenus";"3378";"13552376";"114076";"219454"
"Microtendipes";"150144";"13166405";"129541";"891903"
"Cottus";"3635";"12092346";"167227";"8098"
"Agnetina";"150213";"15305797";"102968";"178278"
"Nigronia";"27044";"20980363";"115028";"307477"
"Antherix";NA;NA;NA;NA
"Eucalia";NA;"20273078";NA;NA
"Cyrnellus";"6398";"15020406";"600537";"177946"
"Cheumatopsyche";"5148";"11948601";"115412";"177865"
