"name";"bold";"eol";"tsn";"ncbi"
"Echium wildpretii";"418611";"13932509";NA;"113456"
"Pterocephalus lasiospermus";"442977";"12367035";NA;"59176"
"Erysimum scoparium";NA;"29319770";NA;"155758"
"Spartocytisus supranubius";NA;"29189978";NA;"49845"
"Tolpis webbii";"422535";"32458385";NA;"682177"
"Nepeta teydea";NA;"32446289";NA;NA
"Mentha longifolia";"403425";"11185936";NA;"38859"
"Scrophularia glabrata";"618111";"12366123";NA;"1357619"
"Pimpinella cumbrae";NA;"32448282";NA;NA
"Argyranthemum teneriffae";NA;NA;NA;NA
"Adenocarpus viscosus";"429667";"21061388";NA;"49791"
"Anastoechus latifrons";NA;"32466906";NA;NA
"Euodynerus reflexus";NA;"32407618";NA;NA
"Geron hesperidum";NA;"32466907";NA;NA
"Megachile canariensis";NA;"31119389";"761187";NA
"Anthrax anthrax";"467365";"13346752";NA;NA
"Eucera gracilipes";NA;"32412736";"766174";NA
"Hylaeus canariensis";NA;"32411691";"754846";NA
"Lasioglossum viride";"155814";"7010661";"760444";NA
"Linnaemyia soror";NA;NA;NA;NA
"Cephalodromia";NA;"6484597";NA;NA
"Estheria simonyi";NA;"32467669";NA;NA
"Lasioglossum arctifrons";NA;"7010663";"758002";NA
"Melecta curvispina";NA;"32412808";"767043";NA
"Osmia canadensis";NA;"21796103";NA;NA
"Andrena wollastoni";NA;"32412037";"753096";NA
"Colletes dimidiatus";NA;"13508287";"654776";"253570"
"Gasteruption";"173754";"12241286";NA;"32404"
"Scaeva albomaculata";"81368";"30932999";NA;"290406"
"Stomorhina lunata";"453953";"12418874";"151715";"1606781"
"Unidentified Fusellovirus";NA;NA;NA;"174676"
"Dermasothes gracilis";NA;NA;NA;NA
"Leptochilus eatoni";NA;"32407641";NA;NA
"Nyctia lugubris";NA;"32466936";NA;"670611"
"Peleteria ruficornis";"469619";"32426993";NA;"1776478"
"Phylloscopus collybita";"73240";"10495091";"925121";"48150"
"Serinus canarius";NA;"21476985";NA;"9135"
"Tachysphex unicolor";"379217";"13370965";"1011199";"2495325"
