"sp_taxon_1";"sp_taxon_2";"value";"type"
"Mytilus";"plankton";"1";"predation"
"Mytilus";"detritus";"1";"commensalism"
"Balanus";"plankton";"1";"predation"
"Balanus";"detritus";"1";"commensalism"
"Littorina";"algae";"1";"herbivory"
"Acmaea";"algae";"1";"herbivory"
"Thais";"Mytilus";"1";"predation"
"Thais";"Balanus";"1";"predation"
"Thais";"Littorina";"1";"predation"
"Thais";"Acmaea";"1";"predation"
"Carcinus";"Mytilus";"1";"predation"
"Carcinus";"Balanus";"1";"predation"
"Carcinus";"Littorina";"1";"predation"
"Carcinus";"Thais";"1";"predation"
"Tautogolabrus";"Mytilus";"1";"predation"
"Tautogolabrus";"Balanus";"1";"predation"
"Tautogolabrus";"Littorina";"1";"predation"
"Tautogolabrus";"Thais";"1";"predation"
"Tautogolabrus";"Carcinus";"1";"predation"
"fish";"Mytilus";"1";"predation"
"birds";"Mytilus";"1";"predation"
"mammals";"Mytilus";"1";"predation"
"fish";"Littorina";"1";"predation"
"birds";"Littorina";"1";"predation"
"mammals";"Littorina";"1";"predation"
"fish";"Acmaea";"1";"predation"
"birds";"Acmaea";"1";"predation"
"mammals";"Acmaea";"1";"predation"
"fish";"Carcinus";"1";"predation"
"birds";"Carcinus";"1";"predation"
"mammals";"Carcinus";"1";"predation"
"fish";"Tautogolabrus";"1";"predation"
"birds";"Tautogolabrus";"1";"predation"
"mammals";"Tautogolabrus";"1";"predation"
