"name";"bold";"eol";"tsn";"ncbi"
"Paraphaenocladius";"56482";"51148616";"128997";"611374"
"Spilogona almqvistii";"365793";"51941648";"150822";"1790212"
"Spilogona extensa";NA;"51941669";"150893";NA
"Pseudosmittia";"57480";"55727515";"129078";"611382"
"Drymeia segnis";"287601";"46456143";"150104";"1291783"
"Spilogona denudata";"449267";"51941667";"150881";"1763959"
"Spilogona micans";"287584";"55748887";"150941";"1291950"
"Platycheirus carinatus";"365810";"61806974";NA;"1459866"
"Limnophora sinuata";NA;"51939747";"150754";NA
"Culicoides";"2403";"51864870";"127345";"41820"
"Parasyrphus tarsatus";"111416";"46445680";"140217";"1086771"
"Peleteria aenea";"365812";"52006095";"652448";"1468483"
"Sympistis zetterstedti";NA;NA;NA;NA
"Brachypogon";"449273";"57362375";"127554";"209709"
"Rheocricotopus";"56420";"57360542";"129093";"611384"
"Spilogona tornensis";"287591";"46456652";"151045";"1291963"
"Bombus";"2087";"51183776";"714782";"28641"
"Phaonia bidentata";"365792";"51938544";"150496";"1790194"
"Polia richardsoni";"56182";"59878167";NA;"1468484"
"Scathophaga furcata";"174061";"51931737";"148614";"102987"
"Scatopsciara";"237258";"55723377";"122928";"1260859"
"Eupeodes nigroventris";NA;"51994461";"140070";NA
"Lasiopiophila pilosa";"449270";NA;"143260";"1790234"
"Lophosceles minimus";"287564";"51943165";"150478";"1790176"
"Delia echinata";"365778";"51977344";"149781";"1790165"
"Entephria puncticeps";NA;NA;NA;NA
"Eukiefferiella";"56449";"46434948";"128695";"288843"
"Neoleria prominens";"528986";"51921304";"145522";"1887007"
"Olethreutes inquitana";NA;NA;NA;NA
"Orthocladius";"56474";"51871954";"128716";"288845"
"Phytomyza fuscula";NA;NA;NA;NA
"Plebeius glandon";NA;NA;NA;"374600"
"Sympistis lapponica";"23043";"55718307";NA;"1488961"
"Aphidius";"7627";"51173916";NA;"37852"
"Gonarcticus arcticus";"365805";"51932116";"148509";"1790232"
"Spilogona arcticola";"449272";"51941616";"150830";"1790213"
"Spilogona malaisei";"287583";"46456597";"150933";"1291948"
"Spilogona obsoleta";NA;"51941691";"150969";NA
"Syngrapha parilis";"156189";"52365861";"940546";"1343817"
"Potentilla hyparctica";"263387";"57279827";NA;"395303"
"Arnica angustifolia";"260057";"50884704";NA;"436192"
"Arenaria pseudofrigida";"263363";"57215631";"20268";"669628"
"Melandrium triflorum";NA;NA;NA;NA
"Ranunculus sulphureus";"263378";"50856966";"18648";"395310"
"Taraxacum phymatocarpum";"278940";"46180340";"36215";"669852"
"Draba lactea";"260083";"61404675";"22888";"208922"
"Draba arctica";"263391";"46213878";"502115";"381143"
"Saxifraga nivalis";"278936";NA;NA;"90606"
"Armeria scabra";"313525";NA;NA;"395279"
"Erigeron compositus";"260054";"50879825";"35843";"91257"
"Cochlearia groenlandica";"260081";"57296274";"22817";"669661"
"Stellaria longipes";"257040";"57215733";NA;"19744"
