"original_name";"name_clear"
"Spilogona sanctipauli";"Spilogona sanctipauli"
"Limnophyes brachytomus";"Limnophyes brachytomus"
"Spilogona dorsata";"Spilogona dorsata"
"Bradysia sp1 M_PL_010";"Bradysia"
"Paraphaenocladius sp1 M_PL_010";"Paraphaenocladius"
"Platycheirus lundbecki";"Platycheirus lundbecki"
"Spilogona almqvistii";"Spilogona almqvistii"
"Spilogona extensa";"Spilogona extensa"
"Aedes nigripes";"Aedes nigripes"
"Clossiana chariclea";"Clossiana chariclea"
"Pseudosmittia sp1 M_PL_010";"Pseudosmittia"
"Limnophyes sp1 M_PL_010";"Limnophyes"
"Nysius groenlandicus";"Nysius groenlandicus"
"Rhamphomyia nigrita";"Rhamphomyia nigrita"
"Smittia sp1 M_PL_010";"Smittia"
"Aedes impiger";"Aedes impiger"
"Drymeia segnis";"Drymeia segnis"
"Spilogona denudata";"Spilogona denudata"
"Rhamphomyia filicauda";"Rhamphomyia filicauda"
"Spilogona micans";"Spilogona micans"
"Platycheirus carinatus";"Platycheirus carinatus"
"Stenomacrus sp1 M_PL_010";"Stenomacrus"
"Limnophora sinuata";"Limnophora sinuata"
"Culicoides sp1 M_PL_010";"Culicoides"
"Parasyrphus tarsatus";"Parasyrphus tarsatus"
"Peleteria aenea";"Peleteria aenea"
"Sympistis zetterstedti";"Sympistis zetterstedti"
"Brachypogon sp1 M_PL_010";"Brachypogon"
"Colias hecla";"Colias hecla"
"Rheocricotopus sp1 M_PL_010";"Rheocricotopus"
"Spilogona tornensis";"Spilogona tornensis"
"Unidentified sp1 M_PL_010";"Unidentified"
"Zaphne frontata";"Zaphne frontata"
"Bombus sp1 M_PL_010";"Bombus"
"Cricotopus sp1 M_PL_010";"Cricotopus"
"Phaonia bidentata";"Phaonia bidentata"
"Polia richardsoni";"Polia richardsoni"
"Scathophaga furcata";"Scathophaga furcata"
"Scatopsciara sp1 M_PL_010";"Scatopsciara"
"Unidentified sp2 M_PL_010";"Unidentified"
"Unidentified sp3 M_PL_010";"Unidentified"
"Drymeia groenlandica";"Drymeia groenlandica"
"Eupeodes curtus";"Eupeodes curtus"
"Eupeodes nigroventris";"Eupeodes nigroventris"
"Lasiopiophila pilosa";"Lasiopiophila pilosa"
"Lophosceles minimus";"Lophosceles minimus"
"Spilogona tundrae";"Spilogona tundrae"
"Delia echinata";"Delia echinata"
"Entephria puncticeps";"Entephria puncticeps"
"Eukiefferiella sp1 M_PL_010";"Eukiefferiella"
"Forcipomyia sp1 M_PL_010";"Forcipomyia"
"Megaselia sp1 M_PL_010";"Megaselia"
"Neoleria prominens";"Neoleria prominens"
"Olethreutes inquitana";"Olethreutes inquitana"
"Orthocladius sp1 M_PL_010";"Orthocladius"
"Phytomyza fuscula";"Phytomyza fuscula"
"Plebeius glandon";"Plebeius glandon"
"Procladius sp1 M_PL_010";"Procladius"
"Protophormia terraenovae";"Protophormia terraenovae"
"Spilogona melanosoma";"Spilogona melanosoma"
"Stenomacrus sp2 M_PL_010";"Stenomacrus"
"Sympistis lapponica";"Sympistis lapponica"
"Unidentified sp4 M_PL_010";"Unidentified"
"Unidentified sp5 M_PL_010";"Unidentified"
"Unidentified sp6 M_PL_010";"Unidentified"
"Aphidius sp1 M_PL_010";"Aphidius"
"Chironomus sp1 M_PL_010";"Chironomus"
"Gonarcticus arcticus";"Gonarcticus arcticus"
"Olethreutes mengelana";"Olethreutes mengelana"
"Spilogona arcticola";"Spilogona arcticola"
"Spilogona deflorata";"Spilogona deflorata"
"Spilogona malaisei";"Spilogona malaisei"
"Spilogona obsoleta";"Spilogona obsoleta"
"Stenomacrus sp3 M_PL_010";"Stenomacrus"
"Syngrapha parilis";"Syngrapha parilis"
"Unidentified sp7 M_PL_010";"Unidentified"
"Dryas octopetala";"Dryas octopetala"
"Saxifraga oppositifolia";"Saxifraga oppositifolia"
"Salix arctica";"Salix arctica"
"Potentilla rubricaulis";"Potentilla rubricaulis"
"Saxifraga caespitosa";"Saxifraga caespitosa"
"Polygonum viviparum";"Polygonum viviparum"
"Silene acaulis";"Silene acaulis"
"Cerastium arcticum";"Cerastium arcticum"
"Papaver radicatum";"Papaver radicatum"
"Potentilla hyparctica";"Potentilla hyparctica"
"Cassiope tetragona";"Cassiope tetragona"
"Arnica angustifolia";"Arnica angustifolia"
"Arenaria pseudofrigida";"Arenaria pseudofrigida"
"Melandrium triflorum";"Melandrium triflorum"
"Saxifraga cernua";"Saxifraga cernua"
"Ranunculus sulphureus";"Ranunculus sulphureus"
"Rhododendron lapponicum";"Rhododendron lapponicum"
"Taraxacum phymatocarpum";"Taraxacum phymatocarpum"
"Draba lactea";"Draba lactea"
"Draba arctica";"Draba arctica"
"Saxifraga nivalis";"Saxifraga nivalis"
"Armeria scabra";"Armeria scabra"
"Pedicularis hirsuta";"Pedicularis hirsuta"
"Vaccinium uliginosum";"Vaccinium uliginosum"
"Saxifraga hirculus";"Saxifraga hirculus"
"Erigeron compositus";"Erigeron compositus"
"Pedicularis flammea";"Pedicularis flammea"
"Cochlearia groenlandica";"Cochlearia groenlandica"
"Stellaria longipes";"Stellaria longipes"
"Epilobium latifolium";"Epilobium latifolium"
"Lesquerella arctica";"Lesquerella arctica"
