"Khan, M.R., and Panikkar, P. (2009). Assessment of impacts of invasive fishes on the food web structure and ecosystem properties of a tropical reservoir in India. Ecological Modelling. 220, pp. 2281-2290.",,,,,,,,,,,
Kelavarapalli reservoir ecosystem - Tamil Nadu state - India,Fish eating birds,African catfish,Indigenous catfishes,Snake heads,Mozambique Tilapia,Nile Tilapia,Pearl spots,Major carps,Dipterans,Zoobenthos,Zooplankton
Fish eating birds,0,0,0,0,0,0,0,0,0,0,0
African catfish,0,0,0,0,0,0,0,0,0,0,0
Indigenous catfishes,0.34,0.254,0,0,0,0,0,0,0,0,0
Snake heads,0.13,0.012,0,0,0,0,0,0,0,0,0
Mozambique Tilapia,0.16,0.058,0,0,0,0,0,0,0,0,0
Nile Tilapia,0.3,0.23,0,0,0,0,0,0,0,0,0
Pearl spots,0.15,0.156,0,0,0,0,0,0,0,0,0
Major carps,0.64,0.148,0,0,0,0,0,0,0,0,0
Dipterans,0,0.142,0.298,0.289,0.328,0,0,0,0,0,0
Zoobenthos,0,0,0,0.093,0.013,0,0,0,0,0,0
Zooplankton,0,0,0.042,0.012,0.129,0.21,0.174,0.147,0.35,0.288,0
Macrophytes,0,0,0.066,0,0.032,0.034,0.246,0.214,0,0,0.294
Phytoplankton,0,0,0.214,0,0.002,0.254,0.128,0.297,0.129,0.196,0.456
Detritus,0,0,0.38,0.244,0.496,0.502,0.452,0.342,0.521,0.543,0.25
