"G. Fryer. (1959). The Ttophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Nyasa - sandy shore - Malawi,Haplochromis johnstoni,Barbus rhoadesii,Haplochromis dimidiatus,Haplochromis rostratus,Haplochromis sp.,Rhamphochromis spp.,Engraulicypris sardella,various immature fishes,Lethrinops brevis,Tilapia saka-squamipinnis,Synodontis zambesensis,Lethrinops,Alestes imberi,Microcyclops nyasae,Lethriops furcifer,Barbus eurystomus,Haplocrhomis mola,Barilius microcephalus,Barbus johnstoni,Baetid nymphs,Ostracods,Chironomid larvae,Caridina nilotica,Corbicula africana,"Barbus innocens, Haplochromis similis, Haplochromis moori",Lanistes procerus,"Malanoides tuberculata, other gastropods",Tilapia melanopleura,Tilapia shirana,Labeo mesops,Haplochromis chrysonotus,Cyclopoid copepods
Engraulicypris sardella,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
various immature fishes,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tilapia saka-squamipinnis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microcyclops nyasae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baetid nymphs,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ostracods,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chironomid larvae,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Caridina nilotica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corbicula africana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lanistes procerus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malanoides tuberculata, other gastropods",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
terrestrial insects,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aufwuchs on Vallisneria,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Vallisneria,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0
"bottom detritus, algae",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1
plankton,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclopoid copepods,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
