"sp_taxon_1";"sp_taxon_2";"value";"type"
"Phytoplankton";"HNF";"1";"herbivory"
"Bacteria";"HNF";"1";"predation"
"Phytoplankton";"Ciliates";"1";"herbivory"
"Bacteria";"Ciliates";"1";"predation"
"HNF";"Ciliates";"1";"predation"
"Ciliates";"Ciliates";"1";"predation"
"Phytoplankton";"Rotifers";"1";"herbivory"
"Bacteria";"Rotifers";"1";"predation"
"HNF";"Rotifers";"1";"predation"
"Ciliates";"Rotifers";"1";"predation"
"Rotifers";"Rotifers";"1";"predation"
"Phytoplankton";"Herbivorous Crustaceans";"1";"herbivory"
"Bacteria";"Herbivorous Crustaceans";"1";"predation"
"HNF";"Herbivorous Crustaceans";"1";"predation"
"Ciliates";"Herbivorous Crustaceans";"1";"predation"
"Rotifers";"Herbivorous Crustaceans";"1";"predation"
"Phytoplankton";"Carnivorous Crustaceans";"1";"herbivory"
"Ciliates";"Carnivorous Crustaceans";"1";"predation"
"Rotifers";"Carnivorous Crustaceans";"1";"predation"
"Herbivorous Crustaceans";"Carnivorous Crustaceans";"1";"predation"
"Carnivorous Crustaceans";"Carnivorous Crustaceans";"1";"predation"
"Rotifers";"Fish";"1";"predation"
"Herbivorous Crustaceans";"Fish";"1";"predation"
"Carnivorous Crustaceans";"Fish";"1";"predation"
"Fish";"Fish";"1";"predation"
