"original_name";"name_clear"
"Diatoms";"Diatoms"
"Blue-green algae";"Cyanobacteria"
"Endocladia muricata";"Endocladia muricata"
"Detritus";"Detritus"
"Plankton";"Plankton"
"Gigartina agardhii";"Gigartina agardhii"
"Other phytoplankton";"Phytoplankton"
"Zooplankton";"Zooplankton"
"Lasaea cistula";"Lasaea cistula"
"Acmaea digitalis";"Acmaea digitalis"
"Acmaea scabra";"Acmaea scabra"
"Balanus glandula";"Balanus glandula"
"Littorina scutulata";"Littorina scutulata"
"Mytilus californianus";"Mytilus californianus"
"Tegula funebralis";"Tegula funebralis"
"Chthamalus dalli";"Chthamalus dalli"
"C. microtretus";"Chthamalus microtretus"
"Suidasia sp.";"Suidasia"
"Littorina planaxis";"Littorina planaxis"
"Acmaea pelta";"Acmaea pelta"
"Cyanoplax dientens";"Cyanoplax dientens"
"Dynamenella glabra";"Dynamenella glabra"
"Syllis vittata";"Syllis vittata"
"Syllis spenceri";"Syllis spenceri"
"Nereis grubei";"Nereis grubei"
"Allochertes ptilocerus";"Allochertes ptilocerus"
"Hyale sp.";"Hyale"
"Diaulota densissima";"Diaulota densissima"
"Pachygrapsus crassipes (juv.)";"Pachygrapsus crassipes"
"Pagurus samuelis";"Pagurus samuelis"
"Filicrisia franciscana";"Filicrisia franciscana"
"Musculus";"Musculus"
"Perinereis monterea";"Perinereis monterea"
"Notoplana acticola";"Notoplana acticola"
"Oyster catcher";"Haematopodidae"
"Nemertopsis gracilis";"Nemertopsis gracilis"
"Thais emarginata";"Thais emarginata"
"Acanthina spirata";"Acanthina spirata"
"Agauopsis sp.";"Agauopsis"
"Rhombognathus";"Rhombognathus"
"Tipulidae";"Tipulidae"
"Emplectonema gracilis";"Emplectonema gracilis"
"Black Turnstone";"Arenaria melanocephala"
