"original_name";"name_clear"
"Plant fragments";"Plantae"
"Synedra";"Synedra"
"Coscinodiscus";"Coscinodiscus"
"Other diatoms";"Diatoms"
"Simulium larvae (black fly)";"Simulium"
"Spirogyra";"Spirogyra"
"Ephemera nymph";"Ephemera"
"Baetis";"Baetis"
"Ulothrix";"Ulothrix"
"Chironomid larvae";"Chironomidae"
"Limnophilus";"Limnephilus"
"Ephemeropteran nymph";"Ephemeroptera"
"Trichoptera larvae";"Trichoptera"
"Gudgeon";"Pisces"
"Roach";"Blattidae"
"Minnow";"Cyprinidae"
"Loach";"Misgurnus"
"Three-spined stickleback";"Gasterosteus aculeatus"
"Brown trout";"Salmo trutta"
"Dace";"Leuciscus leuciscus"
"Eel";"Anguilliformes"
"Pike";"Esox"
