"P.H.T. Hartley. (1948). Food and Feeding Relationships in a Community of Fresh-Water Fishes. Journal of Animal Ecology. 17(1), pp.1-14.",,,,,,,,,,,,,,
River Cam - England,chironomid larvae,Simulium larvae (black fly),Trichoptera larvae,Limnophilus - Ephemeropteran nymph,Baetis,Ephemera nymph,brown trout - dace,gudgeon,minnow,roach,loach,three-spined stickleback,eel,pike
Ulothrix,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Spirogyra,0,0,0,0,0,0,0,1,0,0,0,0,0,0
plant fragments,1,1,1,1,0,0,0,0,0,0,0,1,0,0
Synedra - Coscinodiscus - other diatoms,0,1,1,1,1,1,0,0,0,0,0,0,0,0
chironomid larvae,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Simulium larvae (black fly),0,0,0,0,0,0,1,1,1,0,1,0,0,0
Trichoptera larvae,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Limnophilus - Ephemeropteran nymph,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Baetis,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Ephemera nymph,0,0,0,0,0,0,0,1,0,1,0,0,0,0
gudgeon,0,0,0,0,0,0,0,0,0,0,0,1,0,1
minnow,0,0,0,0,0,0,0,0,0,0,0,0,0,1
roach,0,0,0,0,0,0,0,0,0,0,0,0,1,0
loach,0,0,0,0,0,0,0,0,0,0,0,0,0,1
three-spined stickleback,0,0,0,0,0,0,0,0,0,0,0,0,0,1
