"name";"bold";"eol";"tsn";"ncbi"
"Eupelmidae";"173767";"12192748";"153952";"7430"
"Torymus capillaceus";NA;"24710796";NA;NA
"Pseudocatolaccus guizoti";NA;"24607052";NA;"1118607"
"Rileya tegularis";NA;"21756939";NA;NA
"Tenuipetiolus medicaginus";NA;NA;NA;NA
"Torymus atriplicis";"328373";"24710799";NA;NA
"Tetrastichus";"51365";"13390122";"153795";"108673"
"Torymus umbilicatus";NA;"24710797";NA;NA
"Galeopsomyia";"51294";"24630710";NA;"108652"
"Asphondylia";"6470";"13368167";"124403";"153012"
"Eurytoma";"7582";"12432436";"154012";"75202"
"Atriplex canescens";"390080";"12118094";"192230";"35922"
"Nesolasioptera willistoni";NA;NA;NA;NA
"Gelechiidae";"545";"11150163";"118700";"32434"
"Phyllobaenus atriplexus";NA;"6711507";"999463";NA
"Rileya piercei";NA;"31414317";NA;"1118612"
"Torymus";"7527";"12396752";"153969";"169551"
"Lestodiplosis";"921875";"24688017";"125119";"2338616"
"Tetrastichus cecidobroter";NA;"21756829";NA;NA
"Gracillariidae";"583";"12093933";"693969";"98966"
"Chelonus";"2205";"12388552";NA;"7405"
"Arthrocnodax";NA;"6158902";"125073";NA
"Anystid";NA;NA;NA;NA
"Spilochalcis";NA;"21746777";NA;NA
"Atriplex polycarpa";"673613";"14975678";"20559";"880684"
"Ophiomyia atriplicis";NA;"24705802";"143571";NA
"Tricorynus";"673417";"13616523";"696806";"1050305"
"Opius";"79768";"13195600";"152938";"58744"
"Agathis";"162925";"12016236";"515759";"54793"
"Plastanoxus incompletus";NA;"21916122";NA;NA
"Plastonoxus incompletus";NA;NA;NA;NA
"Neolasioptera willistoni";"521023";"30973689";"123661";"1291706"
