"original_name";"name_clear"
"Plectrocnemia conspersa";"Plectrocnemia conspersa"
"Macropelopia goetghebueri";"Macropelopia goetghebueri"
"Trissopelopia longimana";"Trissopelopia longimana"
"Zavrelimyia barbatipes";"Zavrelimyia barbatipes"
"microcrustacea (unspec.)";"Crustacea"
"Heterotrissocladius marcidus";"Heterotrissocladius marcidus"
"Micropsectra bidentata";"Micropsectra bidentata"
"Prodiamesa olivacea";"Prodiamesa olivacea"
"Leuctra nigra";"Leuctra nigra"
"Nemurella picteti";"Nemurella picteti"
"Brillia modesta";"Brillia modesta"
"Polypedilum albicornis";"Polypedilum albicornis"
"terrestrial invertebrates";"Invertabrata"
"simuliids (unspec.)";"Simuliidae"
"Niphargus aquilex";"Niphargus aquilex"
"other microinvertebrates";"Microinvertebrates"
"Oligochaeta (unspec.)";"Oligochaeta"
"fine particulate organic matter";"Fine particulate organic matter"
"iron bacteria";"Bacteria"
"coarse particulate organic matter";"Coarse particulate organic matter"
"Sialis fuliginosa";"Sialis fuliginosa"
"Pisidium sp.";"Pisidium"
"tipulids (unspec.)";"Tipulidae"
"Potamophylax cingulatus";"Potamophylax cingulatus"
