"name";"bold";"eol";"tsn";"ncbi"
"Plectrocnemia conspersa";"137737";"13125990";NA;"161770"
"Macropelopia goetghebueri";NA;NA;NA;NA
"Trissopelopia longimana";"74212";"15621862";"128253";"879795"
"Zavrelimyia barbatipes";"95100";"14534060";NA;NA
"Heterotrissocladius marcidus";"257383";"13384139";"128744";"611495"
"Micropsectra bidentata";NA;"24703890";NA;NA
"Prodiamesa olivacea";"68671";"13362511";"128454";"288840"
"Leuctra nigra";"184592";"13104701";NA;"143735"
"Nemurella picteti";NA;"19414001";NA;"143722"
"Brillia modesta";NA;"24706592";"553077";"611412"
"Polypedilum albicornis";NA;NA;NA;NA
"Niphargus aquilex";"652538";"15269769";NA;"467483"
"Microinvertebrates";NA;NA;NA;NA
"Sialis fuliginosa";"394082";"15299562";NA;"1230162"
"Pisidium";"348861";"21202588";"81404";"98305"
"Potamophylax cingulatus";"107663";"13338555";NA;"1271735"
