"original_name";"name_clear"
"carrion";"Carrion"
"dung";"Dung"
"Anthriscus sylvestris";"Anthriscus sylvestris"
"Carum carvi";"Carum carvi"
"Daucus carota";"Daucus carota"
"Heracleum sphondylium";"Heracleum sphondylium"
"Pastinaca sativa";"Pastinaca sativa"
"Pimpinella major";"Pimpinella major"
"Achillea millefolium";"Achillea millefolium"
"Bellis perennis";"Bellis perennis"
"Centaurea jacea";"Centaurea jacea"
"Cirsium oleraceum";"Cirsium oleraceum"
"Crepis biennis";"Crepis biennis"
"Leontodon autumnalis";"Leontodon autumnalis"
"Leontodon hispidus";"Leontodon hispidus"
"Leucanthemum vulgare";"Leucanthemum vulgare"
"Taraxacum officinale";"Taraxacum officinale"
"Tragopogon pratensis";"Tragopogon pratensis"
"Campanula patula";"Campanula patula"
"Cardamine pratensis";"Cardamine pratensis"
"Rumex acetosa";"Rumex acetosa"
"Knautia arvensis";"Knautia arvensis"
"Primula veris";"Primula veris"
"Lathyrus pratensis";"Lathyrus pratensis"
"Lotus corniculatus";"Lotus corniculatus"
"Medicago lupulina";"Medicago lupulina"
"Medicago x";"Medicago"
"Onobrychis viciifolia";"Onobrychis viciifolia"
"Trifolium campestre";"Trifolium campestre"
"Trifolium dubium";"Trifolium dubium"
"Trifolium fragiferum";"Trifolium fragiferum"
"Trifolium hybridum";"Trifolium hybridum"
"Trifolium pratense";"Trifolium pratense"
"Trifolium repens";"Trifolium repens"
"Vicia cracca";"Vicia cracca"
"Galium album";"Galium album"
"Geranium pratense";"Geranium pratense"
"Ajuga reptans";"Ajuga reptans"
"Glechoma hederacea";"Glechoma hederacea"
"Prunella vulgaris";"Prunella vulgaris"
"Plantago lanceolata";"Plantago lanceolata"
"Plantago media";"Plantago media"
"Veronica chamaedrys";"Veronica chamaedrys"
"Ranunculus acris";"Ranunculus acris"
"Ranunculus repens";"Ranunculus repens"
"Sanguisorba officinalis";"Sanguisorba officinalis"
"Luzula campestris";"Luzula campestris"
"Alopecurus pratensis";"Alopecurus pratensis"
"Anthoxanthum odoratum";"Anthoxanthum odoratum"
