"sp_taxon_1";"sp_taxon_2";"value";"type"
"Calanoides acutus";"Diatoms";"26";"herbivory"
"Calanus propinquus";"Diatoms";"25";"herbivory"
"Calanus propinquus";"Dinoflagellates";"1";"herbivory"
"Calanus propinquus";"Heliozoans";"2";"predation"
"Calanus propinquus";"Oithona";"1";"predation"
"Calanus propinquus";"Siphonophores";"1";"predation"
"Euchaeta antarctica";"Oithona";"2";"predation"
"Euchaeta antarctica";"Oncaea";"1";"predation"
"Euchaeta antarctica";"Calanus/Calanoides";"2";"predation"
"Euchaeta antarctica";"Calanoids (A)";"8";"predation"
"Euchaeta antarctica";"Metridia";"5";"predation"
"Euchaeta antarctica";"Pelagobla";"2";"predation"
"Euchirella rostromagna";"Diatoms";"21";"herbivory"
"Euchirella rostromagna";"Dinoflagellates";"10";"herbivory"
"Euchirella rostromagna";"Silicoflagellates";"5";"herbivory"
"Euchirella rostromagna";"Tintinnids";"3";"predation"
"Euchirella rostromagna";"Foraminiferans";"10";"predation"
"Euchirella rostromagna";"Radiolarians";"12";"predation"
"Euchirella rostromagna";"Heliozoans";"2";"predation"
"Euchirella rostromagna";"Oithona";"5";"predation"
"Euchirella rostromagna";"Unidentified copepods";"1";"predation"
"Euchirella rostromagna";"Invertebrate eggs";"1";"predation"
"Euchirella rostromagna";"Siphonophores";"1";"predation"
"Euchirella rostromagna";"Limacina";"2";"predation"
"Gaetanus tenuisplnus";"Diatoms";"20";"herbivory"
"Gaetanus tenuisplnus";"Dinoflagellates";"6";"herbivory"
"Gaetanus tenuisplnus";"Silicoflagellates";"1";"herbivory"
"Gaetanus tenuisplnus";"Tintinnids";"3";"predation"
"Gaetanus tenuisplnus";"Foraminiferans";"10";"predation"
"Gaetanus tenuisplnus";"Radiolarians";"12";"predation"
"Gaetanus tenuisplnus";"Heliozoans";"3";"predation"
"Gaetanus tenuisplnus";"Calanoids (A)";"1";"predation"
"Gaetanus tenuisplnus";"Unidentified copepods";"3";"predation"
