"original_name";"name_clear"
"Diatoms";"Diatoms"
"Dinoflagellates";"Pyrrophycophyta"
"Heliozoans";"Heliozoa"
"Oithona";"Oithona"
"Siphonophores";"Siphonophorae"
"Oncaea";"Oncaea"
"Calanus/Calanoides";"Calanoides"
"Calanoids (A)";"Calanoida"
"Metridia";"Metridia"
"Pelagobla";"Pelagobla"
"Silicoflagellates";"Dictyochales"
"Tintinnids";"Tintinnidae"
"Foraminiferans";"Foraminifera"
"Radiolarians";"Radiolaria"
"Unidentified copepods";"Copepoda"
"Invertebrate eggs";"Invertebrate eggs"
"Limacina";"Limacina"
"Calanoids (B)";"Calanoida"
"Euphausiid molt debris";"Euphausiacea"
"Salps";"Salpidae"
"Ostracods";"Ostracoda"
"Harpacticoids";"Harpacticoida"
"Larvaceans";"Appendicularia"
"Euphausiids";"Euphausiacea"
"Nauplii";"Crustacea"
"Hyperiid amphipods";"Hyperiidea"
"Chaetognaths";"Chaetognatha"
"Clio";"Clio cuspidata"
"Calanoides acutus";"Calanoides acutus"
"Calanus propinquus";"Calanus propinquus"
"Euchaeta antarctica";"Euchaeta antarctica"
"Euchirella rostromagna";"Euchirella rostromagna"
"Gaetanus tenuisplnus";"Gaetanus tenuisplnus"
"Haloptilus ocellatus";"Haloptilus ocellatus"
"Heterorhabdus austrinus";"Heterorhabdus austrinus"
"Metridia curticauda";"Metridia curticauda"
"Metridia gerlachei";"Metridia gerlachei"
"Oncaea antarctica";"Oncaea antarctica"
"Pleuromamma robusta";"Pleuromamma robusta"
"Rhincalanus gigas";"Rhincalanus gigas"
"Scaphocalanus farrani";"Scaphocalanus farrani"
"Scolecithricella cenotelis";"Scolecithricella cenotelis"
"Spinocalanus abyssalis";"Spinocalanus abyssalis"
"Vibilia stebbingi";"Vibilia stebbingi"
"Euphausia frigida";"Euphausia frigida"
"Euphausia superba";"Euphausia superba"
"Thysanoessa macrura";"Thysanoessa macrura"
"Clio pyramidata";"Clio cuspidata pyramidata"
"Eukrohnia hamata";"Eukrohnia hamata"
"Sagitta gazellae";"Sagitta gazellae"
"Sagitta marri";"Sagitta marri"
"Salpa thompsoni";"Salpa thompsoni"
"Bathylagus antarcticus";"Bathylagus antarcticus"
"Electrona antarctica";"Electrona antarctica"
"Gymnoscopelus braueri";"Gymnoscopelus braueri"
"Notolepis coatsi";"Notolepis coatsi"
