"Hopkins, T.L., Ainley, D.G., Torres, J.J., and Lancraft, T.M. (1993). Trophie structure in open waters of the marginal ice zone in the Scotia-Weddell confluence region during spring (1983). Polar Biol. 13, pp. 389-397.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marginal ice zone in the Scotia-Weddell confluence region - Spring,Calanoides acutus,Calanus propinquus,Euchaeta antarctica,Euchirella rostromagna,Gaetanus tenuisplnus,Haloptilus ocellatus,Heterorhabdus austrinus,Metridia curticauda,Metridia gerlachei,Oncaea antarctica,Pleuromamma robusta,Rhincalanus gigas,Scaphocalanus farrani,Scolecithricella cenotelis,Spinocalanus abyssalis,Vibilia stebbingi,Euphausia frigida,Euphausia superba,Thysanoessa macrura,Clio pyramidata,Eukrohnia hamata,Sagitta gazellae,Sagitta marri,Salpa thompsoni,Bathylagus antarcticus,Electrona antarctica,Gymnoscopelus braueri,Notolepis coatsi
Diatoms,26,25,0,21,20,2,0,16,18,13,18,16,19,13,20,12,20,20,14,15,0,0,0,20,0,0,0,0
Dinoflagellates,0,1,0,10,6,0,0,1,3,0,7,1,0,0,0,6,1,12,15,2,0,0,0,18,0,0,0,0
Silicoflagellates,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,1,8,0,0,0,0,0,4,0,0,0,0
Tintinnids,0,0,0,3,3,0,0,0,4,0,10,0,0,0,0,5,2,2,2,0,0,0,0,16,0,0,0,0
Foraminiferans,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
Radiolarians,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
Heliozoans,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oithona,0,1,2,5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
Oncaea,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,40,0,3,5
Harpacticoids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Calanus/Calanoides,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,5,0,0,0,16,8,1
Calanoids (A),0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,4,2,5,2
Metridia,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,37,2,14,1
Calanoids (B),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,4,0
Nauplii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Unidentified copepods,0,0,0,1,3,0,0,0,0,0,1,0,3,0,0,0,6,0,3,0,0,0,1,1,0,0,0,0
Ostracods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,7,13,1
Hyperiid amphipods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0
Euphausiids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,21,35,8
Euphausiid molt debris,0,0,0,0,0,0,0,0,0,0,0,0,13,17,0,0,0,0,1,0,0,0,0,0,2,0,0,0
Invertebrate eggs,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,16,13,0,11,0,0,0,16,0,0,0,0
Siphonophores,0,1,0,1,0,0,0,0,1,0,4,0,2,0,0,0,0,1,1,0,0,0,0,0,20,2,2,0
Pelagobla,0,0,2,0,2,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,10,3,4,6
Limacina,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Clio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
Chaetognaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,9
Larvaceans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,6,10,11,0
Salps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,16,5,1,0
