"original_name";"name_clear"
"Amorphus Detritus";"Detritus"
"Diatoms";"Diatoms"
"Vascular Plant Detritus";"Plantae"
"Fungi";"Fungi"
"Filament Algae";"Algae"
"animal material";"Animalia"
"C. nigropunctata";"Caenis nigropunctata"
"Leptophlebia sp.";"Leptophlebia"
"E. sinensis";"Epeorus sinensi"
"C. fluminea";"Corbicula fluminea"
"Pegastia sp.";"Pagastia"
"T. discoloripes";"Tvetenia discoloripes"
"E. potthasti";"Eukiefferiella gracei"
"Ephemera sp.";"Ephemera"
"Polypedilum sp.";"Polypedilum"
"Chaetocladius sp.";"Chaetocladius"
"Microtendipes sp.";"Microtendipes"
"Pentaneura sp.";"Pentaneura"
"Hydropsyche sp.";"Hydropsyche"
"S. teritisum";"Sinopotamon teritisum"
