"sp_taxon_1";"sp_taxon_2";"value";"type"
"Small rotifers";"Algae";"1";"herbivory"
"Small rotifers";"Bacteria";"1";"predation"
"Small rotifers";"Detritus";"1";"commensalism"
"Moina";"Algae";"1";"herbivory"
"Diaptomus";"Algae";"1";"herbivory"
"Moina";"Bacteria";"1";"predation"
"Diaptomus";"Bacteria";"1";"predation"
"Moina";"Detritus";"1";"commensalism"
"Diaptomus";"Detritus";"1";"commensalism"
"Herbivorous insects";"Algae";"1";"herbivory"
"Herbivorous insects";"Bacteria";"1";"predation"
"Herbivorous insects";"Detritus";"1";"commensalism"
"Herbivorous insects";"Small rotifers";"1";"predation"
"Cyclops (copepod)";"Algae";"1";"herbivory"
"Cyclops (copepod)";"Bacteria";"1";"predation"
"Cyclops (copepod)";"Detritus";"1";"commensalism"
"Cyclops (copepod)";"Small rotifers";"1";"predation"
"Cyclops (copepod)";"Moina";"1";"predation"
"Cyclops (copepod)";"Diaptomus";"1";"predation"
"Asplancha";"Small rotifers";"1";"predation"
"Asplancha";"Moina";"1";"predation"
"Asplancha";"Diaptomus";"1";"predation"
"Asplancha";"Cyclops (copepod)";"1";"predation"
"Asplancha";"Asplancha";"1";"predation"
"Predaceous insects";"Moina";"1";"predation"
"Predaceous insects";"Diaptomus";"1";"predation"
"Predaceous insects";"Herbivorous insects";"1";"predation"
"Predaceous insects";"Cyclops (copepod)";"1";"predation"
"Predaceous insects";"Asplancha";"1";"predation"
