"sp_taxon_1";"sp_taxon_2";"value";"type"
"arachnids";"P. eximia larvae";"1";"predation"
"arachnids";"H. segmentaria larvae";"1";"predation"
"arachnids";"C. macellaria larvae";"1";"predation"
"reduviids";"P. eximia larvae";"1";"predation"
"reduviids";"H. segmentaria larvae";"1";"predation"
"reduviids";"C. macellaria larvae";"1";"predation"
"phalangids";"P. eximia larvae";"1";"predation"
"phalangids";"H. segmentaria larvae";"1";"predation"
"phalangids";"C. macellaria larvae";"1";"predation"
"Macrocheles muscadomesticae";"P. eximia larvae";"1";"predation"
"Macrocheles muscadomesticae";"H. segmentaria larvae";"1";"predation"
"Macrocheles muscadomesticae";"C. macellaria larvae";"1";"predation"
"staphylinids";"P. eximia larvae";"1";"predation"
"staphylinids";"H. segmentaria larvae";"1";"predation"
"staphylinids";"C. macellaria larvae";"1";"predation"
"carabids";"P. eximia larvae";"1";"predation"
"carabids";"H. segmentaria larvae";"1";"predation"
"carabids";"C. macellaria larvae";"1";"predation"
"Geomysaprinus belioculus";"P. eximia larvae";"1";"predation"
"Geomysaprinus belioculus";"H. segmentaria larvae";"1";"predation"
"Geomysaprinus belioculus";"C. macellaria larvae";"1";"predation"
"Euspilotus aenicollis";"P. eximia larvae";"1";"predation"
"Euspilotus aenicollis";"H. segmentaria larvae";"1";"predation"
"Euspilotus aenicollis";"C. macellaria larvae";"1";"predation"
"Hister punctiger";"P. eximia larvae";"1";"predation"
"Hister punctiger";"H. segmentaria larvae";"1";"predation"
"Hister punctiger";"C. macellaria larvae";"1";"predation"
"Camponotus sp.";"P. eximia larvae";"1";"predation"
"Camponotus sp.";"H. segmentaria larvae";"1";"predation"
"Camponotus sp.";"C. macellaria larvae";"1";"predation"
"Camponotus sp.";"mammal carcass";"1";"scavenger"
"noctuid lepidopterans";"mammal carcass";"1";"scavenger"
"pyralid lepidopterans";"mammal carcass";"1";"scavenger"
"forest roaches";"mammal carcass";"1";"scavenger"
"vespids";"mammal carcass";"1";"scavenger"
"silphids";"mammal carcass";"1";"scavenger"
"Dermestes carnivorus";"mammal carcass";"1";"scavenger"
"scarabs";"mammal carcass";"1";"scavenger"
"drosophilids";"mammal carcass";"1";"scavenger"
"Prochyliza azteca";"mammal carcass";"1";"scavenger"
"Trigona sp.";"mammal carcass";"1";"scavenger"
"Phaenicia eximia";"mammal carcass";"1";"scavenger"
"Hemilucilia segmentaria";"mammal carcass";"1";"scavenger"
"Cochliomyia macellaria";"mammal carcass";"1";"scavenger"
"P. eximia larvae";"mammal carcass";"1";"scavenger"
"H. segmentaria larvae";"mammal carcass";"1";"scavenger"
"C. macellaria larvae";"mammal carcass";"1";"scavenger"
