"original_name";"name_clear"
"P. eximia larvae";"Piophila foveolata"
"H. segmentaria larvae";"Hemilucilia segmentaria"
"C. macellaria larvae";"Cochliomyia macellaria"
"mammal carcass";"Mammal carcass"
"arachnids";"Arachnida"
"reduviids";"Reduviidae"
"phalangids";"Phalangiidae"
"Macrocheles muscadomesticae";"Macrocheles muscadomesticae"
"staphylinids";"Staphylinidae"
"carabids";"Carabidae"
"Geomysaprinus belioculus";"Geomysaprinus belioculus"
"Euspilotus aenicollis";"Euspilotus aenicollis"
"Hister punctiger";"Hister punctiger"
"Camponotus sp.";"Camponotus"
"noctuid lepidopterans";"Noctuidae"
"pyralid lepidopterans";"Pyralidae"
"forest roaches";"Blattodea"
"vespids";"Vespidae"
"silphids";"Silphidae"
"Dermestes carnivorus";"Dermestes carnivorus"
"scarabs";"Scarabaeidae"
"drosophilids";"Drosophila"
"Prochyliza azteca";"Prochyliza azteca"
"Trigona sp.";"Trigona"
"Phaenicia eximia";"Lucilia eximia"
"Hemilucilia segmentaria";"Hemilucilia segmentaria"
"Cochliomyia macellaria";"Cochliomyia macellaria"
