"sp_taxon_1";"sp_taxon_2";"value";"type"
"Perla carlukiana";"Protonemura sp.";"1";"predation"
"Perla carlukiana";"Baetis rhodani";"1";"predation"
"Perla carlukiana";"Ephemerella notata";"1";"predation"
"Perla carlukiana";"Simulium spp.";"1";"predation"
"Perla carlukiana";"other chironomids";"1";"predation"
"Perla carlukiana";"Philopotamus montanus";"1";"predation"
"Perla carlukiana";"Ulothrix sp.";"1";"herbivory"
"Dinocras cephalotes";"Rhyacophila obliterata";"1";"predation"
"Dinocras cephalotes";"Leuctra fusciventris";"1";"predation"
"Dinocras cephalotes";"L. geniculata";"1";"predation"
"Dinocras cephalotes";"Baetis rhodani";"1";"predation"
"Dinocras cephalotes";"Ephemerella notata";"1";"predation"
"Dinocras cephalotes";"Simulium spp.";"1";"predation"
"Dinocras cephalotes";"other chironomids";"1";"predation"
"Dinocras cephalotes";"Philopotamus montanus";"1";"predation"
"Dinocras cephalotes";"Ecdyonurus venosus";"1";"predation"
"Rhyacophila obliterata";"Baetis rhodani";"1";"predation"
"Rhyacophila obliterata";"Ephemerella notata";"1";"predation"
"Rhyacophila obliterata";"Simulium spp.";"1";"predation"
"Rhyacophila obliterata";"Dicranota sp.";"1";"predation"
"Rhyacophila obliterata";"Cricotopus sp.";"1";"predation"
"Rhyacophila obliterata";"other chironomids";"1";"predation"
"Rhyacophila obliterata";"Ecdyonurus venosus";"1";"predation"
"Hydropsyche instabilis";"Baetis rhodani";"1";"predation"
"Hydropsyche instabilis";"Ephemerella notata";"1";"predation"
"Hydropsyche instabilis";"Simulium spp.";"1";"predation"
"Hydropsyche instabilis";"other chironomids";"1";"predation"
"Hydropsyche instabilis";"leaf fragments";"1";"herbivory"
"Hydropsyche instabilis";"Ulothrix sp.";"1";"herbivory"
"Hydropsyche instabilis";"diatoms (unspec.)";"1";"herbivory"
"Protonemura sp.";"leaf fragments";"1";"herbivory"
"Leuctra fusciventris";"leaf fragments";"1";"herbivory"
"Leuctra fusciventris";"Ulothrix sp.";"1";"herbivory"
"Leuctra fusciventris";"other green algae (unspec.)";"1";"herbivory"
"Leuctra fusciventris";"detritus";"1";"commensalism"
"Leuctra fusciventris";"diatoms (unspec.)";"1";"herbivory"
"L. geniculata";"leaf fragments";"1";"herbivory"
"L. geniculata";"Ulothrix sp.";"1";"herbivory"
"L. geniculata";"Cladophora sp.";"1";"herbivory"
"L. geniculata";"other green algae (unspec.)";"1";"herbivory"
"L. geniculata";"detritus";"1";"commensalism"
"Baetis rhodani";"Ulothrix sp.";"1";"herbivory"
"Baetis rhodani";"other green algae (unspec.)";"1";"herbivory"
"Baetis rhodani";"detritus";"1";"commensalism"
"Baetis rhodani";"diatoms (unspec.)";"1";"herbivory"
"Ephemerella notata";"leaf fragments";"1";"herbivory"
