"name";"bold";"eol";"tsn";"ncbi"
"Protonemura";"185167";"13063978";NA;"143716"
"Baetis rhodani";"28746";"13336451";NA;"189839"
"Ephemerella notata";"248172";"17042545";NA;"446437"
"Simulium";"2353";"11821678";"126646";"7191"
"Philopotamus montanus";"106687";"14540645";"609244";"177904"
"Ulothrix";"262669";"12128139";"6421";"43940"
"Rhyacophila obliterata";"107371";"15263187";"608499";"460686"
"Leuctra fusciventris";NA;NA;NA;NA
"Leuctra geniculata";"309860";"15257750";NA;"1173315"
"Ecdyonurus venosus";"198418";"14527604";NA;"940665"
"Dicranota";"204567";"13038163";"121032";"700836"
"Cladophora";"262618";"11147862";"6765";"34125"
"Hydropsyche instabilis";"102336";"13478124";"115495";"761875"
"Pentaneura";"321618";"13593408";"128222";"891922"
"Microspora";"705985";"12194818";"9297";"163316"
"Perla carlukiana";NA;NA;NA;NA
"Dinocras cephalotes";"186098";"13124101";"568744";"441509"
"Oreodytes rivalis";NA;"14778551";NA;NA
"Oreodytes septentrionalis";"490817";"14477675";"728548";"1309532"
"Odontocerum albicorne";"126495";"13123314";"604007";"446452"
"Sericostoma personatum";"139377";"13337001";"604457";"1271737"
"Siphlonurus lacustris";"309891";"14291768";NA;"1240991"
