"J. R. Erichsen Jones. (1949). A Further Ecological Study of Calcareous Streams in the 'Black Mountain' District of South Wales. Journal of Animal Ecology. 18(2), pp. 142-159. ",,,,,,,,
River Clydach - Wales,Protonemura,Leuctra - Baetis - Ephemerella - Simulium chironomids,Philopotamus,Ecdyonurus,Hydropsyche,Rhyacophila,Perla,Dinocras
leaf fragments,1,1,0,1,1,0,0,0
Ulothrix and other green algae,0,1,0,0,1,0,1,0
detritus,0,1,1,1,0,0,0,0
diatoms,0,1,1,1,1,0,0,0
Protonemura,0,0,0,0,0,0,1,0
Leuctra - Baetis - Ephemerella - Simulium chironomids,0,0,0,0,1,1,1,1
Philopotamus,0,0,0,0,0,0,1,1
Ecdyonurus,0,0,0,0,0,1,0,1
Hydropsyche,0,0,0,0,0,1,1,1
Rhyacophila,0,0,0,0,0,0,0,1
