"name";"bold";"eol";"tsn";"ncbi"
"Pachycerina crinicornis";NA;"32463495";NA;NA
"Melanostoma annulipes";"200900";"20953246";NA;"414828"
"Stomoxys niger";"248115";"32462992";NA;"296011"
"Fannia pusio";"482217";"15924608";"151455";"1230138"
"Brachymyrmex";"2053";"12244287";"575545";"46650"
"Nacoleia";"50539";"13615631";NA;"1004740"
"Technomyrmex albipes";"22043";"12226208";"586724";"369240"
"Zosterops mauritianus";NA;"21448395";"915852";"1071971"
"Chrysomya megacephala";"26675";"13169044";NA;"115424"
"Henotesia narcissus";NA;"32388065";NA;NA
"Miridae";"1332";"11819853";"104419";"30083"
"Nyctemera insulare";NA;"32470617";NA;NA
"Orthellia albigena";NA;NA;NA;NA
"Ceratitis rosa";"82734";"13332225";"670674";"56958"
"Chaetocnema";"7895";"13040342";"720654";"131607"
"Homoneura quadrivitta";NA;"7024646";NA;NA
"Lygistorrhina";"760221";"24992188";"121634";"560762"
"Ophyra capensis";NA;"12441427";NA;"278160"
"Orchisia costata";"716204";"21467792";NA;"1644022"
"Cicadellidae";"26328";"11296194";"109171";"30102"
"Dysauxes florida";NA;NA;NA;NA
"Episyrphus";"199607";"12146954";NA;"286458"
"Eristalinus flaveolus";"789454";"32465872";NA;"1740189"
"Ischiodon aegyptius";"171028";"13808347";NA;"290410"
"Limnophora quaterna";NA;"14800877";NA;NA
"Pelecophora interrupta";NA;NA;NA;NA
"Psyllidae";"1338";"11821461";"152736";"30092"
"Syritta nigrifemorata";NA;"6452277";NA;NA
"Tarundia servillei";NA;"32407099";NA;NA
"Tettigoniidae";"1875";"11943963";"102232";"62784"
"Sideroxylon cinereum";"438206";"9328789";NA;"55369"
"Geniostoma borbonicum";"624685";"13878772";NA;"1054601"
"Croton fothergillifolius";NA;"32370390";"1027067";"2028253"
"Aphloia theiformis";"252606";"13333882";NA;"112806"
"Psiadia terebinthina";NA;NA;NA;"1225853"
"Toddalia asiatica";"368292";"13333099";NA;"159068"
"Claoxylon linostachys";NA;"5772694";NA;NA
"Erythroxylum macrocarpum";NA;"14901301";NA;NA
"Molinaea alternifolia";NA;NA;NA;NA
"Antirhea borbonica";NA;"32368017";"184888";"271884"
"Roussea simplex";"446197";"11999057";NA;"39022"
"Phorinia";"510509";"17024262";NA;"380530"
"Allograpta nasuta";"386106";"15915167";NA;"1452989"
"Polistes hebraeus";NA;"32429952";NA;"202806"
"Psilopa iceryae";NA;"32463676";NA;NA
"Allograpta";"92333";"12094099";"139924";"414720"
"Melanagromyza sojae";"788597";"14036557";NA;"1838149"
"Sarcophaga arno";NA;"32462964";NA;"1806678"
"Acopsis viridicans";NA;"32405833";NA;NA
"Atherigona";"212059";"14804028";"150296";"305597"
"Dasytinae Laporte";NA;NA;NA;NA
"Homoneura";"265812";"12386080";"145269";"1692452"
"Paragus borbonicus";"27852";"13880444";NA;"264219"
"Sepsis lateralis";"164869";"15100554";"145038";"517486"
"Dodonaea viscosa";"306281";"11929805";"28675";"151065"
"Lygaeidae";"1297";"11820971";"107674";"7533"
"Graphomya maculata";"406804";"12430925";NA;"1230139"
"Acalyptrate";NA;NA;NA;NA
"Villa unifasciata";NA;"32466898";NA;NA
"Dioxyna sororcula";"98345";"13165218";"142938";NA
"Phelsuma cepediana";NA;"14900580";"819048";"232312"
"Cheloninae";"112285";"31073653";NA;"65210"
