"name";"bold";"eol";"tsn";"ncbi"
"Metopium brownei";"294834";"14644268";NA;"263464"
"Ficus padifolia";"294942";"15946538";NA;NA
"Talisia olivaeformis";NA;"21300066";NA;NA
"Neea psychotrioides";"148594";"14961181";NA;"427811"
"Centurus aurifrons";NA;NA;NA;NA
"Icterus gularis";"9698";"12093556";"729874";"105515"
"Pteroglossus torquatus";"97919";"12096497";"554290";"283161"
"Trogon citreolus";"102677";"14955839";"554497";"243055"
"Melanerpes pygmaeus";"102654";"15326620";"553991";"372306"
"Psilorhinus morio";"462126";"13973029";"562548";"114089"
"Saltator atriceps";"102600";"13972961";"731262";"460215"
"Amazona albifrons";"102622";"12377935";"177785";"241569"
"Aratinga astec";NA;"13978807";NA;NA
"Cissilopha yucatanica";NA;"21471567";NA;NA
"Cyanocorax yncas";"17057";"13599884";"924038";"114085"
"Dives dives";"102604";"12267164";"559803";"504886"
"Icterus chrysater";"66189";"13696877";"729854";"105510"
"Euphonia affinis";"102687";"13973336";"560009";"504885"
"Icterus auratus";NA;"15972969";"560566";"105508"
"Icterus mesomelas";"66190";"12239147";"729832";"84826"
"Icterus prosthemelas";"120770";"12448059";"726190";"223164"
"Ortalis vetula";"10388";"12104079";"715242";"8984"
"Cotinga amabilis";NA;"13982131";"559544";"1506533"
