"description";"REARING_NUMBER";"lat";"lon";"name";"number";"date"
"1982-06-15, Germany, Hessen, Griesheim bei Darmstadt";"198204A-V1Ovimin";49,85;8,5166666667;"Kolpelke 455";455;1982-06-15
"1982-06-15, Germany, Hessen, Griesheim bei Darmstadt";"198206A-IOvesic";49,85;8,5166666667;"Kolpelke 455";455;1982-06-15
"1982-06-15, Germany, Hessen, Griesheim bei Darmstadt";"198205A1-V1Obridg";49,85;8,5166666667;"Kolpelke 455";455;1982-06-15
"1982-06-15, Germany, Hessen, Griesheim bei Darmstadt";"198205A-ZOgalla";49,85;8,5166666667;"Kolpelke 455";455;1982-06-15
"1982-06-15, Germany, Hessen, Kühkopf, Mordhecke I";"198207A-V1Opedun";49,8166666667;8,4166666667;"Kolpelke 454";454;1982-06-15
"1982-06-15, Germany, Hessen, Kühkopf, Mordhecke I";"198203W1-R3Ovimin";49,8166666667;8,4166666667;"Kolpelke 454";454;1982-06-15
"1982-06-15, Germany, Hessen, Kühkopf, Mordhecke I";"198206J-V1Ovesic";49,8166666667;8,4166666667;"Kolpelke 454";454;1982-06-15
"1982-06-15, Germany, Hessen, Kühkopf, Mordhecke I";"198208A-L1Ovimin";49,8166666667;8,4166666667;"Kolpelke 454";454;1982-06-15
"1982-06-15, Germany, Hessen, Kühkopf, Mordhecke I";"198209A-14V1Ovesic";49,8166666667;8,4166666667;"Kolpelke 454";454;1982-06-15
"1982-06-23, Germany, Hessen, Taunus, Hunoldstal";"198218A-ZOproxi";50,2833333333;8,45;"Kolpelke 459";459;1982-06-23
"1982-06-23, Germany, Hessen, Taunus, Hunoldstal";"198218A1-19ZOvimin";50,2833333333;8,45;"Kolpelke 459";459;1982-06-23
"1982-06-23, Germany, Hessen, Taunus, Waldems-Esch";"198217A-V1Oproxi";50,2333333333;8,3166666667;"Kolpelke 458";458;1982-06-23
"1982-06-23, Germany, Hessen, Taunus, Waldems-Reichenbach";"198215H1-16V1Oproxi";50,25;8,35;"Kolpelke 457";457;1982-06-23
"1982-06-26, Germany, Hessen, Karben";"198215A-G1Otrian";50,2166666667;8,75;"Kolpelke 456";456;1982-06-26
"1982-06-29, Germany, Hessen, Frankfurt, Riedwiese";"198220A-ZOpedun";50,1666666667;8,6333333333;"Kolpelke 460";460;1982-06-29
"1982-06-29, Germany, Hessen, Frankfurt, Riedwiese";"198220A1-V1Obridg";50,1666666667;8,6333333333;"Kolpelke 460";460;1982-06-29
