REARING_NUMBER;taxon;name;value
1998SZ37Eaurit;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
200014P-V1Enigri;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
200517A-LEaurit;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
199807A-BEtesta;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
200517A1-O1Eaurit;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
1996SZ51Epurpu;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
1998SZ33Eaurit;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
1998SZ20Egemmh;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
1998SZ11Eappen;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
199807N1-Q1Etesta;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
1998SZ38Emucro;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
199452O-TEpurpu;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
199430V-31VEelaea;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
199432A1-33IEelaea;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
1996SZ52Epurpu;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
1996SZ57Eelaea;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
1996SZ50Epurpu;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
200516A-Q1Eciner;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
199210S-11K1Eelaea;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
199426A-K1Epurpu;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
1995SZH1Eatraa;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
199418K1-19YEelaea;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
1998SZ35Eaurit;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
1995SZF1Eatraa;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
199433Q1-34UEpurpu;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
200025M1-V1Etesta;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
1998SZ08Eelaea;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
1995SZB1Eelaea;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
199112F1-13MEelaea;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
199428V-G1Epurpu;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
199436D-VEatraa;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
1998SZ16Hischn;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
1996SZ55Eelaea;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
199113O-T1Eelaea;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
199126A-27UEmucro;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
200014A-NEnigri;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
1995SZE1Epurpu;Anaprostocetus acuminatus;Endo/Ecto;Endoparasitism
200028R1-29EOvimin;Aprostocetus alveatus;Endo/Ecto;Endoparasitism
198509A-V1Ovaria;Aprostocetus alveatus;Endo/Ecto;Endoparasitism
198234A-35V1Ovesic;Aprostocetus alveatus;Endo/Ecto;Endoparasitism
200026O-ZOvimin;Aprostocetus alveatus;Endo/Ecto;Endoparasitism
198251N-K1Ovimin;Aprostocetus alveatus;Endo/Ecto;Endoparasitism
2004SZ24Opustu;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
1998SZ27Hplicd;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
199731A1-I1Olappo;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
199010A-12NOarcti;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
199035L1-V1Olappo;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
199044A-P1Olappo;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
199039A-V1Olappo;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
199036A-37O1Osamol;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
198555A-56ROlappo;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
198809A-V1Olappo;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
199041A-O1Onival;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
1998SZ03aHeryth;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
198859A1-60Oherba;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
199731K1-32FOlappo;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
198556T-P1Oherba;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
199048S-49D1Oarcti;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
199336H-KOnival;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
199040A-JOsamol;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
198841A1-44LOsamol;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
199729G-UOlappo;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
199053A-MOlappo;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
199029A1-30TOsamol;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
2004SZ69Osamol;Adelognathus cubiceps;Endo/Ecto;Ectoparasitism
