"sp_taxon_1";"sp_taxon_2";"value";"type"
"Rhinichthys osculus";"Hydropsyche occidentalis";"1";"predation"
"Rhinichthys osculus";"Simulium argus";"1";"predation"
"Rhinichthys osculus";"Chironomids (unspecified)";"1";"predation"
"Rhinichthys osculus";"Detritus";"1";"commensalism"
"Rhinichthys osculus";"Epithemia sp.";"1";"herbivory"
"Argia vivida";"Hyallella azteca";"1";"predation"
"Argia vivida";"Hydropsyche occidentalis";"1";"predation"
"Argia vivida";"Cladophora glomerata";"1";"herbivory"
"Argia vivida";"Detritus";"1";"commensalism"
"Argia vivida";"Cocconeis sp.";"1";"herbivory"
"Argia vivida";"Diatoma sp.";"1";"herbivory"
"Argia vivida";"Epithemia sp.";"1";"herbivory"
"Argia vivida";"Gomphonema sp.";"1";"herbivory"
"Argia vivida";"Meridion sp.";"1";"herbivory"
"Argia vivida";"Navicula sp.";"1";"herbivory"
"Argia vivida";"Nitzschia sp.";"1";"herbivory"
"Argia vivida";"Rhoicosphenia sp.";"1";"herbivory"
"Argia vivida";"Synedra sp.";"1";"herbivory"
"Enallagma anna";"Baetis tricaudatus";"1";"predation"
"Enallagma anna";"Gammarus lacustris";"1";"predation"
"Enallagma anna";"Hyallella azteca";"1";"predation"
"Enallagma anna";"Hydropsyche occidentalis";"1";"predation"
"Enallagma anna";"Limnephilus frijole";"1";"predation"
"Enallagma anna";"Simulium argus";"1";"predation"
"Enallagma anna";"Tricorythodes minutes";"1";"predation"
"Enallagma anna";"Detritus";"1";"commensalism"
"Enallagma anna";"Caloneis sp.";"1";"herbivory"
"Enallagma anna";"Cocconeis sp.";"1";"herbivory"
"Enallagma anna";"Diatoma sp.";"1";"herbivory"
"Enallagma anna";"Epithemia sp.";"1";"herbivory"
"Enallagma anna";"Gomphonema sp.";"1";"herbivory"
"Enallagma anna";"Gyrosigma sp.";"1";"herbivory"
"Enallagma anna";"Meridion sp.";"1";"herbivory"
"Enallagma anna";"Navicula sp.";"1";"herbivory"
"Enallagma anna";"Nitzschia sp.";"1";"herbivory"
"Enallagma anna";"Rhoicosphenia sp.";"1";"herbivory"
"Enallagma anna";"Rhopalodia sp.";"1";"herbivory"
"Ophiogomphus severus";"Enallagma anna";"1";"predation"
"Ophiogomphus severus";"Hyallella azteca";"1";"predation"
"Ophiogomphus severus";"Hydropsyche occidentalis";"1";"predation"
"Ophiogomphus severus";"Simulium argus";"1";"predation"
"Ophiogomphus severus";"Tricorythodes minutes";"1";"predation"
"Ophiogomphus severus";"Detritus";"1";"commensalism"
"Ophiogomphus severus";"Achnanthes sp.";"1";"herbivory"
"Ophiogomphus severus";"Cocconeis sp.";"1";"herbivory"
"Ophiogomphus severus";"Diatoma sp.";"1";"herbivory"
"Ophiogomphus severus";"Epithemia sp.";"1";"herbivory"
"Ophiogomphus severus";"Gomphonema sp.";"1";"herbivory"
"Ophiogomphus severus";"Gyrosigma sp.";"1";"herbivory"
"Ophiogomphus severus";"Meridion sp.";"1";"herbivory"
"Ophiogomphus severus";"Navicula sp.";"1";"herbivory"
"Ophiogomphus severus";"Nitzschia sp.";"1";"herbivory"
"Ophiogomphus severus";"Rhoicosphenia sp.";"1";"herbivory"
"Ophiogomphus severus";"Surirella sp.";"1";"herbivory"
"Ophiogomphus severus";"Synedra sp.";"1";"herbivory"
"Pacifastacus gambelli";"Baetis tricaudatus";"1";"predation"
"Pacifastacus gambelli";"Simulium argus";"1";"predation"
"Pacifastacus gambelli";"Chironomids (unspecified)";"1";"predation"
"Pacifastacus gambelli";"Cladophora glomerata";"1";"herbivory"
"Pacifastacus gambelli";"Detritus";"1";"commensalism"
"Pacifastacus gambelli";"Diatoms (unspec.)";"1";"herbivory"
"Baetis tricaudatus";"Detritus";"1";"commensalism"
"Baetis tricaudatus";"Achnanthes sp.";"1";"herbivory"
"Baetis tricaudatus";"Caloneis sp.";"1";"herbivory"
"Baetis tricaudatus";"Cocconeis sp.";"1";"herbivory"
"Baetis tricaudatus";"Diatoma sp.";"1";"herbivory"
"Baetis tricaudatus";"Epithemia sp.";"1";"herbivory"
"Baetis tricaudatus";"Gomphonema sp.";"1";"herbivory"
"Baetis tricaudatus";"Meridion sp.";"1";"herbivory"
