"original_name";"name_clear"
"Hydropsyche occidentalis";"Hydropsyche occidentalis"
"Simulium argus";"Simulium argus"
"Chironomids (unspecified)";"Chironomidae"
"Detritus";"Detritus"
"Epithemia sp.";"Epithemia"
"Hyallella azteca";"Hyalella azteca"
"Cladophora glomerata";"Cladophora glomerata"
"Cocconeis sp.";"Cocconeis"
"Diatoma sp.";"Diatoma"
"Gomphonema sp.";"Gomphonema"
"Meridion sp.";"Meridion"
"Navicula sp.";"Navicula"
"Nitzschia sp.";"Nitzschia"
"Rhoicosphenia sp.";"Rhoicosphenia"
"Synedra sp.";"Synedra"
"Baetis tricaudatus";"Baetis tricaudatus"
"Gammarus lacustris";"Gammarus lacustris"
"Limnephilus frijole";"Limnephilus frijole"
"Tricorythodes minutes";"Tricorythodes minutes"
"Caloneis sp.";"Caloneis"
"Gyrosigma sp.";"Gyrosigma"
"Rhopalodia sp.";"Rhopalodia"
"Enallagma anna";"Enallagma anna"
"Achnanthes sp.";"Achnanthes"
"Surirella sp.";"Surirella"
"Diatoms (unspec.)";"Diatoms"
"Rhinichthys osculus";"Rhinichthys osculus"
"Argia vivida";"Argia vivida"
"Ophiogomphus severus";"Ophiogomphus severus"
"Pacifastacus gambelli";"Pacifastacus gambelii"
"Sigara sp.";"Sigara"
"Optioservus divergens";"Optioservus divergens"
