"original_name";"name_clear"
"Detritus";"Detritus"
"Filamentous algae";"Algae"
"Diatoms";"Diatoms"
"Mosses";"Bryophyta"
"Baetis rhodani";"Baetis rhodani"
"B. vernus";"Baetis vernus"
"Rheotanytarsus";"Rheotanytarsus"
"Eukiefferiella tshernovskii";"Eukiefferiella tshernovskii"
"Amphinemura";"Amphinemura"
"Ephemerella";"Ephemerella"
"Heptagenia";"Heptagenia"
"Simulidae";"Simuliidae"
"Cricotopus triannulanus";"Cricotopus triannulatus"
"Orthocladius";"Orthocladius"
"Micrasema";"Micrasema"
"Cricotopus bicinctus";"Cricotopus bicinctus"
"Agraylea multipunctata";"Agraylea multipunctata"
"Hydroptila tineoides";"Hydroptila tineoides"
"Isoperla obscura";"Isoperla obscura"
"Athripsodes";"Athripsodes"
"Erpobdella octolucata";"Erpobdella octolucata"
"Rhyacophila nubila";"Rhyacophila nubila"
"Pentaneurini spp.";"Pentaneurini"
"Hydropsyche pellucidula";"Hydropsyche pellucidula"
