"original_name";"name_clear"
"Ficus pellucido-punctata";"Ficus pellucidopunctata"
"Ficus caulocarpa";"Ficus caulocarpa"
"Ficus binnendykii";"Ficus binnendykii"
"Ficus pisocarpa";"Ficus pisocarpa"
"Ficus crassiramea";"Ficus crassiramea"
"Ficus stupenda";"Ficus stupenda"
"Ficus kerkhovenii";"Ficus kerkhovenii"
"Ficus delosyce";"Ficus delosyce"
"Ficus obscura";"Ficus obscura"
"Ficus trichocarpa";"Ficus trichocarpa"
"Ficus benjamina";"Ficus benjamina"
"Ficus sundaica ";"Ficus sundaica"
"Ficus cucurbitina";"Ficus cucurbitina"
"Ficus virens";"Ficus virens"
"Ficus consociata";"Ficus consociata"
"Ficus parietalis";"Ficus parietalis"
"Ficus dubia";"Ficus dubia"
"Ficus bracteata";"Ficus bracteata"
"Ficus drupacea";"Ficus drupacea"
"Ficus stricta";"Ficus stricta"
"Ficus sumatrana";"Ficus sumatrana"
"Ficus heteropleura";"Ficus heteropleura"
"Ficus subcordata";"Ficus subcordata"
"Ficus sagittata";"Ficus sagittata"
"Calorhamphus fuliginosus";"Calorhamphus fuliginosus"
"Irene puella";"Irena puella"
"Megalaima chrysopogon";"Megalaima chrysopogon"
"Calyptomena viridis";"Calyptomena viridis"
"Chloropsis sonnerati";"Chloropsis sonnerati"
"Megalaima australis";"Megalaima australis"
"Treron curvirostra";"Treron curvirostra"
"Megalaima mystacophanos";"Megalaima mystacophanos"
"Anthracoceros malayanus";"Anthracoceros malayanus"
"Hypsipetes charlottae";"Hypsipetes charlottae"
"Megalaima henricii";"Megalaima henricii"
"Pycnonotus brunneus";"Pycnonotus brunneus"
"Chloropsis cyanopogon";"Chloropsis cyanopogon"
"Prionochilus percussus";"Prionochilus percussus"
"Pycnonotus eutilotus";"Pycnonotus eutilotus"
"Buceros rhinoceros";"Buceros rhinoceros"
"Criniger phaeocephalus";"Criniger phaeocephalus"
"Dicaeum chrysorrherum";"Dicaeum chrysorrheum"
"Pycnonotus cyaniventris";"Pycnonotus cyaniventris"
"Treron capellei";"Treron capellei"
"Gracula religiosa";"Gracula religiosa"
"Pycnonotus erythropthalmos";"Pycnonotus erythropthalmos"
"Pycnonotus simplex";"Pycnonotus simplex"
"Anorrhinus galeritus";"Anorrhinus galeritus"
"Criniger bres";"Criniger bres"
"Prionochilus maculatus";"Prionochilus maculatus"
"Rhinoplax vigil";"Rhinoplax vigil"
"Oriolus xanthonotus";"Oriolus xanthonotus"
"Alcippe brunneicauda";"Alcippe brunneicauda"
"Loriculus galgulus";"Loriculus galgulus"
"Pycnonotus atriceps";"Pycnonotus atriceps"
"Criniger finschii";"Criniger finschii"
"Ptilinopus jambu";"Ptilinopus jambu"
"Rhyticeros corrugatus";"Rhyticeros corrugatus"
"Chloropsis cochinchinensis";"Chloropsis cochinchinensis"
"Hypsipetes criniger";"Hypsipetes criniger"
"Treron olax";"Treron olax"
"Corvus enca";"Corvus enca"
"Dicaeum agile";"Dicaeum agile"
"Hypsipetes malaccensis";"Hypsipetes malaccensis"
"Lophura ignita";"Lophura ignita"
"Chalcophaps indica";"Chalcophaps indica"
"Dicaeum concolor";"Dicaeum concolor"
"Ducula badia";"Ducula badia"
"Melanochlora sultanea";"Melanochlora sultanea"
"Platysmurus leucopterus";"Platysmurus leucopterus"
"Pycnonotus goavier";"Pycnonotus goavier"
"Zoothera interpres";"Zoothera interpres"
"Anthracoceros albirostris";"Anthracoceros albirostris"
"Coracina striata";"Coracina striata"
"Dicaeum ignipectus";"Dicaeum ignipectus"
"Dicaeum trigonostigma";"Dicaeum trigonostigma"
"Harpactes diardi";"Harpactes diardii"
"Hypsipetes flavala";"Hypsipetes flavala"
"Pycnonotus finlaysoni";"Pycnonotus finlaysoni"
"Pycnonotus melanoleucos";"Pycnonotus melanoleucos"
"Pycnonotus plumosus";"Pycnonotus plumosus"
"Pycnonotus squamatus";"Pycnonotus squamatus"
"Pycnonotus zeylanicus";"Pycnonotus zeylanicus"
"Treron fulvicollis";"Treron fulvicollis"
"Turdus obscurus";"Turdus obscurus"
