"sp_taxon_1";"sp_taxon_2";"value";"type"
"Elopichthys";"Erythroculter";"0.37";"predation"
"Elopichthys";"Pseudolaubuca";"0.025";"predation"
"Elopichthys";"Bighead carp";"0.16";"predation"
"Elopichthys";"Silver carp";"0.13";"predation"
"Elopichthys";"Common carp";"0.012";"predation"
"Elopichthys";"Xenocypris";"0.075";"predation"
"Elopichthys";"Sinibrama";"0.22";"predation"
"Elopichthys";"Other fish";"0.008";"predation"
"Erythroculter";"Erythroculter";"0.082";"predation"
"Erythroculter";"Pseudolaubuca";"0.03";"predation"
"Erythroculter";"Bighead carp";"0.292";"predation"
"Erythroculter";"Silver carp";"0.114";"predation"
"Erythroculter";"Common carp";"0.012";"predation"
"Erythroculter";"Xenocypris";"0.078";"predation"
"Erythroculter";"Sinibrama";"0.235";"predation"
"Erythroculter";"Other fish";"0.007";"predation"
"Erythroculter";"Shrimp";"0.15";"predation"
"Pseudolaubuca";"Bighead carp";"0.24";"predation"
"Pseudolaubuca";"Silver carp";"0.1";"predation"
"Pseudolaubuca";"Other fish";"0.04";"predation"
"Pseudolaubuca";"Shrimp";"0.06";"predation"
"Pseudolaubuca";"Zooplankton";"0.56";"predation"
"Bighead carp";"Zooplankton";"0.95";"predation"
"Bighead carp";"Phyoplankton";"0.03";"herbivory"
"Bighead carp";"Detritus";"0.02";"commensalism"
"Silver carp";"Zooplankton";"0.1";"predation"
"Silver carp";"Phyoplankton";"0.75";"herbivory"
"Silver carp";"Detritus";"0.15";"commensalism"
"Common carp";"Shrimp";"0.05";"predation"
"Common carp";"Mollusk";"0.2";"predation"
"Common carp";"Meiobenthos";"0.75";"predation"
"Xenocypris";"Meiobenthos";"0.02";"predation"
"Xenocypris";"Benthic producer";"0.68";"herbivory"
"Xenocypris";"Detritus";"0.3";"commensalism"
"Sinibrama";"Meiobenthos";"0.35";"predation"
"Sinibrama";"Benthic producer";"0.5";"herbivory"
"Sinibrama";"Detritus";"0.15";"commensalism"
"Other fish";"Mollusk";"0.3";"predation"
"Other fish";"Meiobenthos";"0.35";"predation"
"Other fish";"Benthic producer";"0.35";"herbivory"
"Shrimp";"Meiobenthos";"0.25";"predation"
"Shrimp";"Benthic producer";"0.55";"herbivory"
"Shrimp";"Detritus";"0.2";"commensalism"
"Mollusk";"Phyoplankton";"0.15";"herbivory"
"Mollusk";"Benthic producer";"0.45";"herbivory"
"Mollusk";"Detritus";"0.4";"commensalism"
"Meiobenthos";"Detritus";"1";"commensalism"
"Zooplankton";"Zooplankton";"0.02";"predation"
"Zooplankton";"Phyoplankton";"0.68";"herbivory"
"Zooplankton";"Detritus";"0.3";"commensalism"
