"original_name";"name_clear"
"Erythroculter";"Erythroculter"
"Pseudolaubuca";"Pseudolaubuca sinensis"
"Bighead carp";"Hypophthalmichthys nobilis"
"Silver carp";"Hypophthalmichthys molitrix"
"Common carp";"Cyprinus carpio"
"Xenocypris";"Xenocypris"
"Sinibrama";"Sinibrama"
"Other fish";"Pisces"
"Shrimp";"Caridea"
"Zooplankton";"Zooplankton"
"Phyoplankton";"Phytoplankton"
"Detritus";"Detritus"
"Mollusk";"Mollusca"
"Meiobenthos";"Meiobenthos"
"Benthic producer";"Benthic producer"
"Elopichthys";"Elopichthys bambusa"
