"sp_taxon_1";"sp_taxon_2";"value"
"Saxifraga tricuspidata";"Unidentified sp1 M_PL_045";"45"
"Dryas integrifolia";"Unidentified sp1 M_PL_045";"6"
"Ledum palustre";"Unidentified sp1 M_PL_045";"5"
"Polygonum viviparum";"Unidentified sp1 M_PL_045";"1"
"Silene acaulis";"Unidentified sp1 M_PL_045";"1"
"Salix sp1 M_PL_045";"Unidentified sp1 M_PL_045";"1"
"Vaccinium uliginosum";"Unidentified sp1 M_PL_045";"1"
"Pedicularis flammea";"Unidentified sp1 M_PL_045";"1"
"Dryas integrifolia";"Nysius groenlandicus";"2"
"Polygonum viviparum";"Nysius groenlandicus";"5"
"Epilobium latifolium";"Nysius groenlandicus";"2"
"Viscaria alpina";"Nysius groenlandicus";"2"
"Potentilla rubricaulis";"Nysius groenlandicus";"1"
"Campanula gieseckiana";"Acarina sp1 M_PL_045";"10"
"Saxifraga tricuspidata";"Unidentified sp2 M_PL_045";"1"
"Dryas integrifolia";"Unidentified sp2 M_PL_045";"1"
"Ledum palustre";"Unidentified sp2 M_PL_045";"1"
"Silene acaulis";"Unidentified sp2 M_PL_045";"1"
"Rhododendron lapponicum";"Unidentified sp2 M_PL_045";"3"
"Salix sp1 M_PL_045";"Unidentified sp2 M_PL_045";"1"
"Vaccinium uliginosum";"Unidentified sp2 M_PL_045";"1"
"Saxifraga caespitosa";"Unidentified sp2 M_PL_045";"1"
"Saxifraga tricuspidata";"Thysanoptera sp1 M_PL_045";"3"
"Dryas integrifolia";"Thysanoptera sp1 M_PL_045";"3"
"Ledum palustre";"Thysanoptera sp1 M_PL_045";"1"
"Rhododendron lapponicum";"Thysanoptera sp1 M_PL_045";"1"
"Cerastium alpinum";"Thysanoptera sp1 M_PL_045";"1"
"Saxifraga tricuspidata";"Unidentified sp3 M_PL_045";"1"
"Dryas integrifolia";"Unidentified sp3 M_PL_045";"4"
"Campanula gieseckiana";"Unidentified sp3 M_PL_045";"1"
"Silene acaulis";"Unidentified sp3 M_PL_045";"2"
"Dryas integrifolia";"Eupeodes curtus";"2"
"Campanula gieseckiana";"Eupeodes curtus";"1"
"Polygonum viviparum";"Eupeodes curtus";"1"
"Cerastium alpinum";"Eupeodes curtus";"1"
"Pyrola grandiflora";"Eupeodes curtus";"1"
"Campanula gieseckiana";"Dolichopus sp1 M_PL_045";"1"
"Ledum palustre";"Dolichopus sp1 M_PL_045";"3"
"Saxifraga tricuspidata";"Spilogona sp1 M_PL_045";"2"
"Dryas integrifolia";"Spilogona sp1 M_PL_045";"1"
"Salix sp1 M_PL_045";"Spilogona sp1 M_PL_045";"1"
"Dryas integrifolia";"Platycheirus hyperboreus";"2"
"Silene acaulis";"Platycheirus hyperboreus";"1"
"Dryas integrifolia";"Platycheirus lundbecki";"2"
"Campanula gieseckiana";"Platycheirus lundbecki";"1"
"Campanula gieseckiana";"Delia sp1 M_PL_045";"2"
"Dryas integrifolia";"Pegomya sp1 M_PL_045";"1"
"Silene acaulis";"Pegomya sp1 M_PL_045";"1"
"Dryas integrifolia";"Sphaerophoria scripta";"1"
"Cerastium alpinum";"Sphaerophoria scripta";"1"
"Ledum palustre";"Unidentified sp4 M_PL_045";"1"
"Polygonum viviparum";"Unidentified sp4 M_PL_045";"1"
"Salix sp1 M_PL_045";"Coccinella transversoguttata";"1"
"Dryas integrifolia";"Eupeodes luniger";"1"
"Dryas integrifolia";"Lasiomma sp1 M_PL_045";"1"
"Campanula gieseckiana";"Platycheirus groenlandicus";"1"
"Campanula gieseckiana";"Protophormia terranovae";"1"
"Polygonum viviparum";"Sympsitis zetterstedtii";"1"
"Ledum palustre";"Unidentified sp5 M_PL_045";"1"
"Cassiope tetragona";"Unidentified sp6 M_PL_045";"1"
"Saxifraga tricuspidata";"Unidentified sp7 M_PL_045";"1"
"Campanula gieseckiana";"Unidentified sp8 M_PL_045";"1"
"Dryas integrifolia";"Unidentified sp9 M_PL_045";"1"
