"sp_taxon_1";"sp_taxon_2";"value"
"Manucodia chalybata";"Ficus sp1 ";1
"Manucodia chalybata";"Ficus sp3 ";1
"Manucodia chalybata";"Dysoxylum sp2 ";1
"Manucodia chalybata";"Piper sp2 ";1
"Manucodia chalybata";"Myristica subaluata";1
"Manucodia chalybata";"Ficus sp5 ";1
"Manucodia chalybata";"Pandanus limbatus";1
"Manucodia chalybata";"Piper sp1 ";1
"Parasidea raggiana";"Ficus sp1 ";1
"Parasidea raggiana";"Dysoxylum sp2 ";1
"Parasidea raggiana";"Elmerillia tsiampaca";1
"Parasidea raggiana";"Piper sp2 ";1
"Parasidea raggiana";"Aglaia sp1 ";1
"Parasidea raggiana";"Dysoxylum sp1 ";1
"Parasidea raggiana";"Musa sp1 ";1
"Meliphaga sp1";"Ficus sp1 ";1
"Meliphaga sp1";"Piper sp2 ";1
"Meliphaga sp1";"Psychotriasp sp1 ";1
"Meliphaga sp1";"Ficus dammaropsis";1
"Meliphaga sp1";"Gynotroches sp1 ";1
"Meliphaga sp1";"Symplocos sp1 ";1
"Rhyticeros plicatus";"Ficus sp3 ";1
"Rhyticeros plicatus";"Dracantomelon sp1 ";1
"Rhyticeros plicatus";"Ficus sp2 ";1
"Rhyticeros plicatus";"Myristica fatua";1
"Cicinnurus magnificus";"Psychotriasp sp1 ";1
"Cicinnurus magnificus";"Schefflera sp1 ";1
"Cicinnurus magnificus";"Sloanea sp1 ";1
"Oriolus szalayi";"Ficus sp1 ";1
"Oriolus szalayi";"Ficus sp3 ";1
"Oriolus szalayi";"Dysoxylum sp2 ";1
"Ailuroedus buccoides";"Piper sp2 ";1
"Ailuroedus buccoides";"Elaeocarpus sp1 ";1
"Coracina boyeri";"Ficus sp3 ";1
"Coracina boyeri";"Dysoxylum sp2 ";1
"Coracina schisticeps";"Dysoxylum sp2 ";1
"Coracina schisticeps";"Elaeocarpus sp1 ";1
"Ducula rufigaster";"Elmerillia tsiampaca";1
"Ducula rufigaster";"Syzigium sp1 ";1
"Ducula zoeae";"Elmerillia tsiampaca";1
"Ducula zoeae";"Aglaia sp1 ";1
"Melanocharis nigra";"Piper sp2 ";1
"Melanocharis nigra";"Eurya sp1 ";1
"Pitohui kirhocephalus";"Ficus sp3 ";1
"Pitohui kirhocephalus";"Rhus sp1 ";1
"Ptilinopus pulchellus";"Ficus sp3 ";1
"Ptilinopus pulchellus";"Elaeocarpus sp1 ";1
"Ptilinopus rivoli";"Elmerillia tsiampaca";1
"Ptilinopus rivoli";"Gynotroches sp1 ";1
"Cacatua galerita";"Rhus sp1 ";1
"Coracina melaena";"Dysoxylum sp2 ";1
"Cracticus cassicus";"Heritiera sp1 ";1
"Cyclopsittaca gulielmiterti";"Ficus sp4 ";1
"Dicrurus hottentottus";"Rhus sp1 ";1
"Glycichaera fallax";"Poikilospermum sp1 ";1
"Gymnophaps albertisii";"Elmerillia tsiampaca";1
"Macropygia amboinensis";"Symplocos sp1 ";1
"Melilestes megarhycus";"Ficus dammaropsis";1
"Microdynamis parva";"Ficus sp3 ";1
"Mino dumonti";"Ficus sp1 ";1
"Parotia lawesii";"Myristica subaluata";1
"Philemon buceroides";"Psychotriasp sp1 ";1
"Ptilinopus ornatus";"Elmerillia tsiampaca";1
"Reinwardtoena reinwardtii";"Osmoxylum sp1 ";1
"Xanthotis flaviventer";"Ficus sp1 ";1
"Xanthotis polygramma";"Ficus sp1 ";1
