"sp_taxon_1";"sp_taxon_2";"value";"type"
"Coleps sp.";"Cryptomonas";1;"herbivory"
"Prorodon sp.";"Cryptomonas";1;"herbivory"
"Anuraeopsis fissa";"Colorless bacteria";1;"predation"
"Nauplii sp.";"Colorless bacteria";1;"predation"
"Vorticella sp.";"Colorless bacteria";1;"predation"
"Paramecium sp.";"Colorless bacteria";1;"predation"
"Cyclidium sp.";"Colorless bacteria";1;"predation"
"Strombidium sp.";"Colorless bacteria";1;"predation"
"Anuraeopsis fissa";"Chromatium sp.";1;"herbivory"
"Nauplii sp.";"Chromatium sp.";1;"herbivory"
"Vorticella sp.";"Chromatium sp.";1;"herbivory"
"Paramecium sp.";"Chromatium sp.";1;"herbivory"
"Cyclidium sp.";"Chromatium sp.";1;"herbivory"
"Strombidium sp.";"Chromatium sp.";1;"herbivory"
"Anuraeopsis fissa";"Amoebobacter sp.";1;"herbivory"
"Nauplii sp.";"Amoebobacter sp.";1;"herbivory"
"Vorticella sp.";"Amoebobacter sp.";1;"herbivory"
"Paramecium sp.";"Amoebobacter sp.";1;"herbivory"
"Cyclidium sp.";"Amoebobacter sp.";1;"herbivory"
"Strombidium sp.";"Amoebobacter sp.";1;"herbivory"
"Anuraeopsis fissa";"Other algae";1;"herbivory"
"Nauplii sp.";"Other algae";1;"herbivory"
"Vorticella sp.";"Other algae";1;"herbivory"
"Paramecium sp.";"Other algae";1;"herbivory"
"Cyclidium sp.";"Other algae";1;"herbivory"
"Strombidium sp.";"Other algae";1;"herbivory"
"Polyarthra sp.";"Cryptomonas";1;"herbivory"
"Keratella sp.";"Cryptomonas";1;"herbivory"
"Polyarthra sp.";"Other algae";1;"herbivory"
"Keratella sp.";"Other algae";1;"herbivory"
"Thermocyclops dybowskii";"Cryptomonas";1;"herbivory"
"Thermocyclops dybowskii";"Other algae";1;"herbivory"
"Thermocyclops dybowskii";"Coleps sp.";1;"predation"
"Thermocyclops dybowskii";"Prorodon sp.";1;"predation"
"Thermocyclops dybowskii";"Anuraeopsis fissa";1;"predation"
"Thermocyclops dybowskii";"Nauplii sp.";1;"predation"
"Thermocyclops dybowskii";"Vorticella sp.";1;"predation"
"Thermocyclops dybowskii";"Paramecium sp.";1;"predation"
"Thermocyclops dybowskii";"Cyclidium sp.";1;"predation"
"Thermocyclops dybowskii";"Strombidium sp.";1;"predation"
"Thermocyclops dybowskii";"Polyarthra sp.";1;"predation"
"Thermocyclops dybowskii";"Keratella sp.";1;"predation"
