"original_name";"name_clear"
"Cryptomonas";"Cryptomonas"
"Colorless bacteria";"Bacteria"
"Chromatium sp.";"Chromatium"
"Amoebobacter sp.";"Amoebobacter"
"Other algae";"Algae"
"Coleps sp.";"Coleps"
"Prorodon sp.";"Prorodon"
"Anuraeopsis fissa";"Anuraeopsis fissa"
"Nauplii sp.";"Nauplii"
"Vorticella sp.";"Vorticella"
"Paramecium sp.";"Paramecium"
"Cyclidium sp.";"Cyclidium"
"Strombidium sp.";"Strombidium"
"Polyarthra sp.";"Polyarthra"
"Keratella sp.";"Keratella"
"Thermocyclops dybowskii";"Thermocyclops dybowskii"
